네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","퍼실"
"2017-08-01",22
"2017-08-02",28
"2017-08-03",23
"2017-08-04",15
"2017-08-05",13
"2017-08-06",24
"2017-08-07",26
"2017-08-08",27
"2017-08-09",26
"2017-08-10",22
"2017-08-11",17
"2017-08-12",19
"2017-08-13",24
"2017-08-14",19
"2017-08-15",21
"2017-08-16",23
"2017-08-17",25
"2017-08-18",18
"2017-08-19",17
"2017-08-20",21
"2017-08-21",23
"2017-08-22",27
"2017-08-23",23
"2017-08-24",23
"2017-08-25",17
"2017-08-26",18
"2017-08-27",19
"2017-08-28",21
"2017-08-29",23
"2017-08-30",21
"2017-08-31",23
"2017-09-01",15
"2017-09-02",15
"2017-09-03",26
"2017-09-04",24
"2017-09-05",21
"2017-09-06",19
"2017-09-07",19
"2017-09-08",14
"2017-09-09",16
"2017-09-10",21
"2017-09-11",22
"2017-09-12",23
"2017-09-13",18
"2017-09-14",15
"2017-09-15",16
"2017-09-16",15
"2017-09-17",23
"2017-09-18",21
"2017-09-19",20
"2017-09-20",23
"2017-09-21",14
"2017-09-22",19
"2017-09-23",19
"2017-09-24",20
"2017-09-25",24
"2017-09-26",29
"2017-09-27",14
"2017-09-28",20
"2017-09-29",12
"2017-09-30",14
"2017-10-01",17
"2017-10-02",11
"2017-10-03",9
"2017-10-04",12
"2017-10-05",23
"2017-10-06",20
"2017-10-07",28
"2017-10-08",34
"2017-10-09",37
"2017-10-10",47
"2017-10-11",40
"2017-10-12",27
"2017-10-13",25
"2017-10-14",25
"2017-10-15",28
"2017-10-16",32
"2017-10-17",35
"2017-10-18",24
"2017-10-19",22
"2017-10-20",20
"2017-10-21",27
"2017-10-22",34
"2017-10-23",29
"2017-10-24",29
"2017-10-25",34
"2017-10-26",22
"2017-10-27",18
"2017-10-28",25
"2017-10-29",34
"2017-10-30",34
"2017-10-31",26
"2017-11-01",35
"2017-11-02",21
"2017-11-03",21
"2017-11-04",25
"2017-11-05",29
"2017-11-06",28
"2017-11-07",43
"2017-11-08",29
"2017-11-09",25
"2017-11-10",22
"2017-11-11",21
"2017-11-12",42
"2017-11-13",34
"2017-11-14",32
"2017-11-15",28
"2017-11-16",27
"2017-11-17",21
"2017-11-18",19
"2017-11-19",46
"2017-11-20",39
"2017-11-21",32
"2017-11-22",30
"2017-11-23",28
"2017-11-24",24
"2017-11-25",22
"2017-11-26",29
"2017-11-27",38
"2017-11-28",31
"2017-11-29",25
"2017-11-30",30
"2017-12-01",24
"2017-12-02",26
"2017-12-03",34
"2017-12-04",30
"2017-12-05",35
"2017-12-06",27
"2017-12-07",28
"2017-12-08",16
"2017-12-09",31
"2017-12-10",36
"2017-12-11",35
"2017-12-12",28
"2017-12-13",34
"2017-12-14",22
"2017-12-15",19
"2017-12-16",21
"2017-12-17",29
"2017-12-18",25
"2017-12-19",23
"2017-12-20",28
"2017-12-21",22
"2017-12-22",14
"2017-12-23",19
"2017-12-24",23
"2017-12-25",31
"2017-12-26",32
"2017-12-27",27
"2017-12-28",34
"2017-12-29",16
"2017-12-30",16
"2017-12-31",20
"2018-01-01",40
"2018-01-02",44
"2018-01-03",31
"2018-01-04",33
"2018-01-05",21
"2018-01-06",21
"2018-01-07",35
"2018-01-08",34
"2018-01-09",30
"2018-01-10",27
"2018-01-11",21
"2018-01-12",16
"2018-01-13",24
"2018-01-14",33
"2018-01-15",31
"2018-01-16",43
"2018-01-17",38
"2018-01-18",33
"2018-01-19",25
"2018-01-20",34
"2018-01-21",40
"2018-01-22",38
"2018-01-23",30
"2018-01-24",36
"2018-01-25",29
"2018-01-26",29
"2018-01-27",24
"2018-01-28",39
"2018-01-29",33
"2018-01-30",42
"2018-01-31",35
"2018-02-01",34
"2018-02-02",27
"2018-02-03",34
"2018-02-04",50
"2018-02-05",37
"2018-02-06",32
"2018-02-07",33
"2018-02-08",27
"2018-02-09",24
"2018-02-10",21
"2018-02-11",32
"2018-02-12",23
"2018-02-13",17
"2018-02-14",23
"2018-02-15",15
"2018-02-16",13
"2018-02-17",34
"2018-02-18",53
"2018-02-19",50
"2018-02-20",51
"2018-02-21",39
"2018-02-22",38
"2018-02-23",26
"2018-02-24",28
"2018-02-25",45
"2018-02-26",48
"2018-02-27",42
"2018-02-28",36
"2018-03-01",58
"2018-03-02",31
"2018-03-03",35
"2018-03-04",46
"2018-03-05",43
"2018-03-06",45
"2018-03-07",36
"2018-03-08",31
"2018-03-09",21
"2018-03-10",26
"2018-03-11",46
"2018-03-12",100
"2018-03-13",17
"2018-03-14",17
"2018-03-15",17
"2018-03-16",11
"2018-03-17",10
"2018-03-18",15
"2018-03-19",21
"2018-03-20",18
"2018-03-21",18
"2018-03-22",12
"2018-03-23",11
"2018-03-24",12
"2018-03-25",21
"2018-03-26",18
"2018-03-27",21
"2018-03-28",22
"2018-03-29",19
"2018-03-30",19
"2018-03-31",20
"2018-04-01",28
"2018-04-02",33
"2018-04-03",31
"2018-04-04",27
"2018-04-05",24
"2018-04-06",24
"2018-04-07",20
"2018-04-08",23
"2018-04-09",26
"2018-04-10",31
"2018-04-11",29
"2018-04-12",21
"2018-04-13",17
"2018-04-14",21
"2018-04-15",30
"2018-04-16",29
"2018-04-17",28
"2018-04-18",27
"2018-04-19",22
