네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","액자테이블"
"2017-08-01",54
"2017-08-02",63
"2017-08-03",50
"2017-08-04",52
"2017-08-05",41
"2017-08-06",48
"2017-08-07",71
"2017-08-08",57
"2017-08-09",61
"2017-08-10",50
"2017-08-11",41
"2017-08-12",41
"2017-08-13",57
"2017-08-14",52
"2017-08-15",70
"2017-08-16",51
"2017-08-17",64
"2017-08-18",50
"2017-08-19",45
"2017-08-20",62
"2017-08-21",64
"2017-08-22",49
"2017-08-23",62
"2017-08-24",55
"2017-08-25",38
"2017-08-26",52
"2017-08-27",61
"2017-08-28",49
"2017-08-29",55
"2017-08-30",55
"2017-08-31",47
"2017-09-01",46
"2017-09-02",37
"2017-09-03",52
"2017-09-04",49
"2017-09-05",58
"2017-09-06",53
"2017-09-07",50
"2017-09-08",51
"2017-09-09",35
"2017-09-10",63
"2017-09-11",59
"2017-09-12",57
"2017-09-13",48
"2017-09-14",46
"2017-09-15",35
"2017-09-16",41
"2017-09-17",76
"2017-09-18",55
"2017-09-19",52
"2017-09-20",47
"2017-09-21",38
"2017-09-22",38
"2017-09-23",49
"2017-09-24",51
"2017-09-25",68
"2017-09-26",55
"2017-09-27",40
"2017-09-28",29
"2017-09-29",18
"2017-09-30",21
"2017-10-01",25
"2017-10-02",27
"2017-10-03",25
"2017-10-04",24
"2017-10-05",35
"2017-10-06",47
"2017-10-07",56
"2017-10-08",66
"2017-10-09",53
"2017-10-10",65
"2017-10-11",44
"2017-10-12",58
"2017-10-13",45
"2017-10-14",35
"2017-10-15",55
"2017-10-16",52
"2017-10-17",53
"2017-10-18",47
"2017-10-19",41
"2017-10-20",33
"2017-10-21",31
"2017-10-22",50
"2017-10-23",60
"2017-10-24",54
"2017-10-25",90
"2017-10-26",69
"2017-10-27",49
"2017-10-28",35
"2017-10-29",48
"2017-10-30",54
"2017-10-31",59
"2017-11-01",47
"2017-11-02",56
"2017-11-03",46
"2017-11-04",41
"2017-11-05",48
"2017-11-06",69
"2017-11-07",66
"2017-11-08",52
"2017-11-09",55
"2017-11-10",38
"2017-11-11",35
"2017-11-12",40
"2017-11-13",44
"2017-11-14",53
"2017-11-15",46
"2017-11-16",49
"2017-11-17",37
"2017-11-18",43
"2017-11-19",54
"2017-11-20",59
"2017-11-21",52
"2017-11-22",46
"2017-11-23",51
"2017-11-24",41
"2017-11-25",33
"2017-11-26",50
"2017-11-27",61
"2017-11-28",52
"2017-11-29",64
"2017-11-30",48
"2017-12-01",42
"2017-12-02",48
"2017-12-03",68
"2017-12-04",73
"2017-12-05",70
"2017-12-06",62
"2017-12-07",61
"2017-12-08",49
"2017-12-09",88
"2017-12-10",75
"2017-12-11",82
"2017-12-12",67
"2017-12-13",60
"2017-12-14",65
"2017-12-15",49
"2017-12-16",61
"2017-12-17",68
"2017-12-18",69
"2017-12-19",69
"2017-12-20",70
"2017-12-21",45
"2017-12-22",37
"2017-12-23",39
"2017-12-24",45
"2017-12-25",68
"2017-12-26",74
"2017-12-27",70
"2017-12-28",59
"2017-12-29",53
"2017-12-30",59
"2017-12-31",50
"2018-01-01",66
"2018-01-02",77
"2018-01-03",72
"2018-01-04",73
"2018-01-05",53
"2018-01-06",65
"2018-01-07",85
"2018-01-08",71
"2018-01-09",75
"2018-01-10",85
"2018-01-11",67
"2018-01-12",55
"2018-01-13",49
"2018-01-14",72
"2018-01-15",71
"2018-01-16",77
"2018-01-17",62
"2018-01-18",48
"2018-01-19",54
"2018-01-20",54
"2018-01-21",71
"2018-01-22",75
"2018-01-23",88
"2018-01-24",53
"2018-01-25",48
"2018-01-26",43
"2018-01-27",51
"2018-01-28",72
"2018-01-29",82
"2018-01-30",78
"2018-01-31",56
"2018-02-01",63
"2018-02-02",57
"2018-02-03",59
"2018-02-04",77
"2018-02-05",78
"2018-02-06",63
"2018-02-07",67
"2018-02-08",65
"2018-02-09",49
"2018-02-10",62
"2018-02-11",77
"2018-02-12",55
"2018-02-13",40
"2018-02-14",39
"2018-02-15",50
"2018-02-16",55
"2018-02-17",57
"2018-02-18",100
"2018-02-19",82
"2018-02-20",91
"2018-02-21",67
"2018-02-22",75
"2018-02-23",67
"2018-02-24",62
"2018-02-25",89
"2018-02-26",73
"2018-02-27",81
"2018-02-28",57
"2018-03-01",89
"2018-03-02",73
"2018-03-03",64
"2018-03-04",79
"2018-03-05",80
"2018-03-06",65
"2018-03-07",62
"2018-03-08",62
"2018-03-09",41
"2018-03-10",47
"2018-03-11",60
"2018-03-12",55
"2018-03-13",47
"2018-03-14",54
"2018-03-15",48
"2018-03-16",40
"2018-03-17",37
"2018-03-18",58
"2018-03-19",57
"2018-03-20",55
"2018-03-21",51
"2018-03-22",49
"2018-03-23",37
"2018-03-24",32
"2018-03-25",54
"2018-03-26",48
"2018-03-27",45
"2018-03-28",40
"2018-03-29",37
"2018-03-30",32
"2018-03-31",35
"2018-04-01",40
"2018-04-02",43
"2018-04-03",42
"2018-04-04",40
"2018-04-05",39
"2018-04-06",25
"2018-04-07",28
"2018-04-08",50
"2018-04-09",41
"2018-04-10",42
"2018-04-11",37
"2018-04-12",36
"2018-04-13",26
"2018-04-14",37
"2018-04-15",44
"2018-04-16",48
"2018-04-17",32
"2018-04-18",40
"2018-04-19",38
