네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","냄비"
"2017-08-01",37
"2017-08-02",33
"2017-08-03",30
"2017-08-04",27
"2017-08-05",33
"2017-08-06",52
"2017-08-07",46
"2017-08-08",44
"2017-08-09",39
"2017-08-10",47
"2017-08-11",34
"2017-08-12",37
"2017-08-13",44
"2017-08-14",50
"2017-08-15",60
"2017-08-16",59
"2017-08-17",52
"2017-08-18",38
"2017-08-19",39
"2017-08-20",60
"2017-08-21",54
"2017-08-22",43
"2017-08-23",43
"2017-08-24",47
"2017-08-25",37
"2017-08-26",33
"2017-08-27",44
"2017-08-28",45
"2017-08-29",52
"2017-08-30",41
"2017-08-31",35
"2017-09-01",36
"2017-09-02",34
"2017-09-03",51
"2017-09-04",51
"2017-09-05",42
"2017-09-06",51
"2017-09-07",45
"2017-09-08",36
"2017-09-09",42
"2017-09-10",50
"2017-09-11",50
"2017-09-12",36
"2017-09-13",42
"2017-09-14",42
"2017-09-15",23
"2017-09-16",29
"2017-09-17",43
"2017-09-18",45
"2017-09-19",40
"2017-09-20",42
"2017-09-21",35
"2017-09-22",31
"2017-09-23",32
"2017-09-24",37
"2017-09-25",39
"2017-09-26",41
"2017-09-27",29
"2017-09-28",23
"2017-09-29",20
"2017-09-30",25
"2017-10-01",27
"2017-10-02",24
"2017-10-03",33
"2017-10-04",35
"2017-10-05",35
"2017-10-06",38
"2017-10-07",38
"2017-10-08",47
"2017-10-09",62
"2017-10-10",52
"2017-10-11",51
"2017-10-12",43
"2017-10-13",36
"2017-10-14",36
"2017-10-15",55
"2017-10-16",56
"2017-10-17",46
"2017-10-18",43
"2017-10-19",35
"2017-10-20",31
"2017-10-21",27
"2017-10-22",38
"2017-10-23",43
"2017-10-24",50
"2017-10-25",42
"2017-10-26",36
"2017-10-27",33
"2017-10-28",43
"2017-10-29",42
"2017-10-30",41
"2017-10-31",47
"2017-11-01",45
"2017-11-02",39
"2017-11-03",47
"2017-11-04",41
"2017-11-05",46
"2017-11-06",52
"2017-11-07",43
"2017-11-08",46
"2017-11-09",51
"2017-11-10",41
"2017-11-11",35
"2017-11-12",47
"2017-11-13",52
"2017-11-14",48
"2017-11-15",54
"2017-11-16",36
"2017-11-17",40
"2017-11-18",41
"2017-11-19",54
"2017-11-20",52
"2017-11-21",47
"2017-11-22",53
"2017-11-23",49
"2017-11-24",32
"2017-11-25",41
"2017-11-26",54
"2017-11-27",78
"2017-11-28",52
"2017-11-29",60
"2017-11-30",46
"2017-12-01",38
"2017-12-02",39
"2017-12-03",62
"2017-12-04",61
"2017-12-05",49
"2017-12-06",50
"2017-12-07",55
"2017-12-08",48
"2017-12-09",48
"2017-12-10",57
"2017-12-11",49
"2017-12-12",60
"2017-12-13",55
"2017-12-14",45
"2017-12-15",39
"2017-12-16",37
"2017-12-17",50
"2017-12-18",59
"2017-12-19",57
"2017-12-20",47
"2017-12-21",48
"2017-12-22",32
"2017-12-23",28
"2017-12-24",56
"2017-12-25",52
"2017-12-26",56
"2017-12-27",50
"2017-12-28",59
"2017-12-29",40
"2017-12-30",48
"2017-12-31",42
"2018-01-01",80
"2018-01-02",80
"2018-01-03",62
"2018-01-04",54
"2018-01-05",47
"2018-01-06",55
"2018-01-07",83
"2018-01-08",61
"2018-01-09",61
"2018-01-10",72
"2018-01-11",58
"2018-01-12",45
"2018-01-13",53
"2018-01-14",64
"2018-01-15",74
"2018-01-16",72
"2018-01-17",62
"2018-01-18",58
"2018-01-19",47
"2018-01-20",54
"2018-01-21",69
"2018-01-22",81
"2018-01-23",65
"2018-01-24",78
"2018-01-25",59
"2018-01-26",55
"2018-01-27",56
"2018-01-28",95
"2018-01-29",92
"2018-01-30",78
"2018-01-31",95
"2018-02-01",81
"2018-02-02",63
"2018-02-03",67
"2018-02-04",98
"2018-02-05",100
"2018-02-06",82
"2018-02-07",62
"2018-02-08",54
"2018-02-09",47
"2018-02-10",48
"2018-02-11",59
"2018-02-12",54
"2018-02-13",43
"2018-02-14",35
"2018-02-15",45
"2018-02-16",38
"2018-02-17",56
"2018-02-18",73
"2018-02-19",58
"2018-02-20",71
"2018-02-21",70
"2018-02-22",60
"2018-02-23",41
"2018-02-24",45
"2018-02-25",56
"2018-02-26",68
"2018-02-27",59
"2018-02-28",63
"2018-03-01",65
"2018-03-02",73
"2018-03-03",53
"2018-03-04",63
"2018-03-05",69
"2018-03-06",48
"2018-03-07",58
"2018-03-08",56
"2018-03-09",54
"2018-03-10",51
"2018-03-11",64
"2018-03-12",54
"2018-03-13",49
"2018-03-14",40
"2018-03-15",53
"2018-03-16",42
"2018-03-17",40
"2018-03-18",53
"2018-03-19",53
"2018-03-20",54
"2018-03-21",49
"2018-03-22",49
"2018-03-23",38
"2018-03-24",47
"2018-03-25",62
"2018-03-26",51
"2018-03-27",48
"2018-03-28",44
"2018-03-29",44
"2018-03-30",33
"2018-03-31",41
"2018-04-01",49
"2018-04-02",47
"2018-04-03",47
"2018-04-04",44
"2018-04-05",48
"2018-04-06",41
"2018-04-07",39
"2018-04-08",47
"2018-04-09",49
"2018-04-10",48
"2018-04-11",47
"2018-04-12",41
"2018-04-13",39
"2018-04-14",63
"2018-04-15",60
"2018-04-16",51
"2018-04-17",43
"2018-04-18",50
"2018-04-19",50
