네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","노스페이스패딩"
"2017-08-01",
"2017-08-02",
"2017-08-03",
"2017-08-04",
"2017-08-05",
"2017-08-06",
"2017-08-07",
"2017-08-08",
"2017-08-09",
"2017-08-10",
"2017-08-11",
"2017-08-12",
"2017-08-13",
"2017-08-14",
"2017-08-15",
"2017-08-16",
"2017-08-17",
"2017-08-18",
"2017-08-19",
"2017-08-20",
"2017-08-21",
"2017-08-22",
"2017-08-23",
"2017-08-24",
"2017-08-25",
"2017-08-26",
"2017-08-27",
"2017-08-28",
"2017-08-29",
"2017-08-30",
"2017-08-31",
"2017-09-01",
"2017-09-02",
"2017-09-03",
"2017-09-04",
"2017-09-05",
"2017-09-06",
"2017-09-07",
"2017-09-08",
"2017-09-09",
"2017-09-10",
"2017-09-11",
"2017-09-12",
"2017-09-13",
"2017-09-14",
"2017-09-15",
"2017-09-16",
"2017-09-17",
"2017-09-18",
"2017-09-19",
"2017-09-20",
"2017-09-21",
"2017-09-22",
"2017-09-23",
"2017-09-24",
"2017-09-25",
"2017-09-26",
"2017-09-27",
"2017-09-28",
"2017-09-29",
"2017-09-30",
"2017-10-01",
"2017-10-02",
"2017-10-03",
"2017-10-04",
"2017-10-05",
"2017-10-06",1
"2017-10-07",
"2017-10-08",
"2017-10-09",
"2017-10-10",
"2017-10-11",
"2017-10-12",1
"2017-10-13",
"2017-10-14",1
"2017-10-15",1
"2017-10-16",1
"2017-10-17",1
"2017-10-18",1
"2017-10-19",1
"2017-10-20",1
"2017-10-21",1
"2017-10-22",1
"2017-10-23",1
"2017-10-24",1
"2017-10-25",1
"2017-10-26",1
"2017-10-27",1
"2017-10-28",1
"2017-10-29",1
"2017-10-30",3
"2017-10-31",2
"2017-11-01",2
"2017-11-02",3
"2017-11-03",5
"2017-11-04",5
"2017-11-05",22
"2017-11-06",28
"2017-11-07",23
"2017-11-08",24
"2017-11-09",29
"2017-11-10",24
"2017-11-11",31
"2017-11-12",42
"2017-11-13",45
"2017-11-14",43
"2017-11-15",50
"2017-11-16",71
"2017-11-17",60
"2017-11-18",76
"2017-11-19",100
"2017-11-20",96
"2017-11-21",82
"2017-11-22",74
"2017-11-23",76
"2017-11-24",72
"2017-11-25",67
"2017-11-26",78
"2017-11-27",63
"2017-11-28",50
"2017-11-29",49
"2017-11-30",54
"2017-12-01",50
"2017-12-02",50
"2017-12-03",63
"2017-12-04",54
"2017-12-05",63
"2017-12-06",50
"2017-12-07",44
"2017-12-08",43
"2017-12-09",44
"2017-12-10",57
"2017-12-11",61
"2017-12-12",64
"2017-12-13",55
"2017-12-14",47
"2017-12-15",37
"2017-12-16",42
"2017-12-17",53
"2017-12-18",44
"2017-12-19",38
"2017-12-20",36
"2017-12-21",29
"2017-12-22",21
"2017-12-23",22
"2017-12-24",26
"2017-12-25",32
"2017-12-26",28
"2017-12-27",26
"2017-12-28",25
"2017-12-29",21
"2017-12-30",21
"2017-12-31",21
"2018-01-01",23
"2018-01-02",20
"2018-01-03",20
"2018-01-04",20
"2018-01-05",18
"2018-01-06",18
"2018-01-07",22
"2018-01-08",23
"2018-01-09",24
"2018-01-10",27
"2018-01-11",28
"2018-01-12",27
"2018-01-13",27
"2018-01-14",25
"2018-01-15",20
"2018-01-16",15
"2018-01-17",14
"2018-01-18",12
"2018-01-19",11
"2018-01-20",14
"2018-01-21",17
"2018-01-22",15
"2018-01-23",22
"2018-01-24",25
"2018-01-25",25
"2018-01-26",24
"2018-01-27",25
"2018-01-28",28
"2018-01-29",25
"2018-01-30",23
"2018-01-31",20
"2018-02-01",18
"2018-02-02",16
"2018-02-03",20
"2018-02-04",29
"2018-02-05",26
"2018-02-06",22
"2018-02-07",22
"2018-02-08",18
"2018-02-09",14
"2018-02-10",18
"2018-02-11",23
"2018-02-12",15
"2018-02-13",14
"2018-02-14",12
"2018-02-15",12
"2018-02-16",13
"2018-02-17",13
"2018-02-18",18
"2018-02-19",13
"2018-02-20",10
"2018-02-21",9
"2018-02-22",8
"2018-02-23",7
"2018-02-24",8
"2018-02-25",10
"2018-02-26",7
"2018-02-27",6
"2018-02-28",6
"2018-03-01",9
"2018-03-02",6
"2018-03-03",5
"2018-03-04",6
"2018-03-05",4
"2018-03-06",3
"2018-03-07",4
"2018-03-08",4
"2018-03-09",3
"2018-03-10",4
"2018-03-11",4
"2018-03-12",3
"2018-03-13",2
"2018-03-14",1
"2018-03-15",1
"2018-03-16",1
"2018-03-17",1
"2018-03-18",2
"2018-03-19",1
"2018-03-20",1
"2018-03-21",2
"2018-03-22",1
"2018-03-23",1
"2018-03-24",1
"2018-03-25",1
"2018-03-26",1
"2018-03-27",
"2018-03-28",1
"2018-03-29",1
"2018-03-30",
"2018-03-31",1
"2018-04-01",1
"2018-04-02",
"2018-04-03",
"2018-04-04",
"2018-04-05",
"2018-04-06",1
"2018-04-07",1
"2018-04-08",1
"2018-04-09",
"2018-04-10",
"2018-04-11",
"2018-04-12",
"2018-04-13",
"2018-04-14",1
"2018-04-15",1
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",
