네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","블랙야크패딩"
"2017-08-01",2
"2017-08-02",2
"2017-08-03",2
"2017-08-04",2
"2017-08-05",1
"2017-08-06",2
"2017-08-07",3
"2017-08-08",2
"2017-08-09",2
"2017-08-10",2
"2017-08-11",2
"2017-08-12",2
"2017-08-13",3
"2017-08-14",3
"2017-08-15",4
"2017-08-16",3
"2017-08-17",3
"2017-08-18",3
"2017-08-19",3
"2017-08-20",5
"2017-08-21",3
"2017-08-22",3
"2017-08-23",3
"2017-08-24",3
"2017-08-25",2
"2017-08-26",2
"2017-08-27",4
"2017-08-28",4
"2017-08-29",5
"2017-08-30",5
"2017-08-31",4
"2017-09-01",3
"2017-09-02",3
"2017-09-03",3
"2017-09-04",3
"2017-09-05",3
"2017-09-06",4
"2017-09-07",3
"2017-09-08",3
"2017-09-09",3
"2017-09-10",3
"2017-09-11",3
"2017-09-12",4
"2017-09-13",3
"2017-09-14",3
"2017-09-15",4
"2017-09-16",4
"2017-09-17",5
"2017-09-18",4
"2017-09-19",4
"2017-09-20",3
"2017-09-21",3
"2017-09-22",3
"2017-09-23",3
"2017-09-24",4
"2017-09-25",3
"2017-09-26",3
"2017-09-27",3
"2017-09-28",3
"2017-09-29",4
"2017-09-30",6
"2017-10-01",7
"2017-10-02",6
"2017-10-03",5
"2017-10-04",5
"2017-10-05",7
"2017-10-06",11
"2017-10-07",10
"2017-10-08",7
"2017-10-09",7
"2017-10-10",5
"2017-10-11",6
"2017-10-12",12
"2017-10-13",12
"2017-10-14",12
"2017-10-15",15
"2017-10-16",15
"2017-10-17",14
"2017-10-18",12
"2017-10-19",12
"2017-10-20",9
"2017-10-21",12
"2017-10-22",15
"2017-10-23",15
"2017-10-24",14
"2017-10-25",14
"2017-10-26",15
"2017-10-27",14
"2017-10-28",16
"2017-10-29",24
"2017-10-30",32
"2017-10-31",31
"2017-11-01",29
"2017-11-02",25
"2017-11-03",24
"2017-11-04",36
"2017-11-05",44
"2017-11-06",41
"2017-11-07",30
"2017-11-08",28
"2017-11-09",29
"2017-11-10",30
"2017-11-11",38
"2017-11-12",55
"2017-11-13",45
"2017-11-14",45
"2017-11-15",52
"2017-11-16",63
"2017-11-17",58
"2017-11-18",70
"2017-11-19",100
"2017-11-20",88
"2017-11-21",78
"2017-11-22",67
"2017-11-23",74
"2017-11-24",66
"2017-11-25",68
"2017-11-26",83
"2017-11-27",62
"2017-11-28",60
"2017-11-29",51
"2017-11-30",54
"2017-12-01",58
"2017-12-02",68
"2017-12-03",74
"2017-12-04",70
"2017-12-05",75
"2017-12-06",63
"2017-12-07",54
"2017-12-08",49
"2017-12-09",53
"2017-12-10",70
"2017-12-11",67
"2017-12-12",67
"2017-12-13",72
"2017-12-14",50
"2017-12-15",43
"2017-12-16",52
"2017-12-17",59
"2017-12-18",50
"2017-12-19",40
"2017-12-20",39
"2017-12-21",33
"2017-12-22",28
"2017-12-23",28
"2017-12-24",32
"2017-12-25",36
"2017-12-26",38
"2017-12-27",36
"2017-12-28",33
"2017-12-29",28
"2017-12-30",27
"2017-12-31",30
"2018-01-01",35
"2018-01-02",32
"2018-01-03",32
"2018-01-04",28
"2018-01-05",24
"2018-01-06",30
"2018-01-07",37
"2018-01-08",32
"2018-01-09",30
"2018-01-10",33
"2018-01-11",36
"2018-01-12",34
"2018-01-13",36
"2018-01-14",38
"2018-01-15",25
"2018-01-16",18
"2018-01-17",17
"2018-01-18",13
"2018-01-19",12
"2018-01-20",16
"2018-01-21",18
"2018-01-22",18
"2018-01-23",22
"2018-01-24",25
"2018-01-25",25
"2018-01-26",26
"2018-01-27",35
"2018-01-28",35
"2018-01-29",28
"2018-01-30",26
"2018-01-31",20
"2018-02-01",16
"2018-02-02",14
"2018-02-03",19
"2018-02-04",29
"2018-02-05",26
"2018-02-06",22
"2018-02-07",20
"2018-02-08",17
"2018-02-09",11
"2018-02-10",16
"2018-02-11",17
"2018-02-12",14
"2018-02-13",10
"2018-02-14",9
"2018-02-15",9
"2018-02-16",10
"2018-02-17",12
"2018-02-18",15
"2018-02-19",10
"2018-02-20",9
"2018-02-21",7
"2018-02-22",7
"2018-02-23",7
"2018-02-24",7
"2018-02-25",9
"2018-02-26",5
"2018-02-27",4
"2018-02-28",6
"2018-03-01",6
"2018-03-02",4
"2018-03-03",4
"2018-03-04",6
"2018-03-05",2
"2018-03-06",2
"2018-03-07",2
"2018-03-08",3
"2018-03-09",2
"2018-03-10",3
"2018-03-11",3
"2018-03-12",2
"2018-03-13",1
"2018-03-14",1
"2018-03-15",1
"2018-03-16",1
"2018-03-17",1
"2018-03-18",1
"2018-03-19",1
"2018-03-20",1
"2018-03-21",1
"2018-03-22",1
"2018-03-23",1
"2018-03-24",1
"2018-03-25",1
"2018-03-26",
"2018-03-27",
"2018-03-28",1
"2018-03-29",1
"2018-03-30",
"2018-03-31",
"2018-04-01",1
"2018-04-02",
"2018-04-03",
"2018-04-04",
"2018-04-05",
"2018-04-06",
"2018-04-07",1
"2018-04-08",1
"2018-04-09",
"2018-04-10",
"2018-04-11",
"2018-04-12",
"2018-04-13",
"2018-04-14",1
"2018-04-15",
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",
