네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","래쉬가드"
"2017-08-01",87
"2017-08-02",93
"2017-08-03",77
"2017-08-04",65
"2017-08-05",65
"2017-08-06",88
"2017-08-07",100
"2017-08-08",82
"2017-08-09",77
"2017-08-10",57
"2017-08-11",44
"2017-08-12",38
"2017-08-13",47
"2017-08-14",42
"2017-08-15",47
"2017-08-16",47
"2017-08-17",36
"2017-08-18",28
"2017-08-19",26
"2017-08-20",39
"2017-08-21",45
"2017-08-22",38
"2017-08-23",36
"2017-08-24",25
"2017-08-25",20
"2017-08-26",16
"2017-08-27",27
"2017-08-28",24
"2017-08-29",24
"2017-08-30",21
"2017-08-31",14
"2017-09-01",12
"2017-09-02",13
"2017-09-03",20
"2017-09-04",17
"2017-09-05",21
"2017-09-06",21
"2017-09-07",15
"2017-09-08",11
"2017-09-09",12
"2017-09-10",17
"2017-09-11",18
"2017-09-12",16
"2017-09-13",13
"2017-09-14",13
"2017-09-15",10
"2017-09-16",13
"2017-09-17",19
"2017-09-18",20
"2017-09-19",20
"2017-09-20",15
"2017-09-21",17
"2017-09-22",13
"2017-09-23",12
"2017-09-24",18
"2017-09-25",20
"2017-09-26",18
"2017-09-27",12
"2017-09-28",9
"2017-09-29",6
"2017-09-30",7
"2017-10-01",6
"2017-10-02",8
"2017-10-03",6
"2017-10-04",6
"2017-10-05",9
"2017-10-06",9
"2017-10-07",10
"2017-10-08",10
"2017-10-09",16
"2017-10-10",13
"2017-10-11",16
"2017-10-12",14
"2017-10-13",10
"2017-10-14",10
"2017-10-15",14
"2017-10-16",14
"2017-10-17",17
"2017-10-18",17
"2017-10-19",14
"2017-10-20",10
"2017-10-21",11
"2017-10-22",18
"2017-10-23",17
"2017-10-24",15
"2017-10-25",12
"2017-10-26",11
"2017-10-27",10
"2017-10-28",13
"2017-10-29",14
"2017-10-30",16
"2017-10-31",18
"2017-11-01",18
"2017-11-02",16
"2017-11-03",14
"2017-11-04",17
"2017-11-05",17
"2017-11-06",19
"2017-11-07",19
"2017-11-08",17
"2017-11-09",15
"2017-11-10",16
"2017-11-11",18
"2017-11-12",19
"2017-11-13",20
"2017-11-14",20
"2017-11-15",20
"2017-11-16",17
"2017-11-17",14
"2017-11-18",15
"2017-11-19",23
"2017-11-20",23
"2017-11-21",19
"2017-11-22",18
"2017-11-23",17
"2017-11-24",14
"2017-11-25",13
"2017-11-26",25
"2017-11-27",21
"2017-11-28",23
"2017-11-29",18
"2017-11-30",17
"2017-12-01",17
"2017-12-02",20
"2017-12-03",28
"2017-12-04",25
"2017-12-05",28
"2017-12-06",21
"2017-12-07",22
"2017-12-08",17
"2017-12-09",17
"2017-12-10",31
"2017-12-11",32
"2017-12-12",25
"2017-12-13",23
"2017-12-14",21
"2017-12-15",17
"2017-12-16",17
"2017-12-17",24
"2017-12-18",29
"2017-12-19",28
"2017-12-20",24
"2017-12-21",18
"2017-12-22",16
"2017-12-23",16
"2017-12-24",19
"2017-12-25",20
"2017-12-26",23
"2017-12-27",22
"2017-12-28",18
"2017-12-29",16
"2017-12-30",18
"2017-12-31",20
"2018-01-01",25
"2018-01-02",26
"2018-01-03",28
"2018-01-04",23
"2018-01-05",23
"2018-01-06",26
"2018-01-07",40
"2018-01-08",38
"2018-01-09",39
"2018-01-10",28
"2018-01-11",25
"2018-01-12",27
"2018-01-13",26
"2018-01-14",33
"2018-01-15",35
"2018-01-16",35
"2018-01-17",30
"2018-01-18",28
"2018-01-19",25
"2018-01-20",27
"2018-01-21",33
"2018-01-22",34
"2018-01-23",41
"2018-01-24",27
"2018-01-25",24
"2018-01-26",21
"2018-01-27",24
"2018-01-28",32
"2018-01-29",37
"2018-01-30",40
"2018-01-31",34
"2018-02-01",37
"2018-02-02",42
"2018-02-03",35
"2018-02-04",55
"2018-02-05",42
"2018-02-06",48
"2018-02-07",35
"2018-02-08",34
"2018-02-09",33
"2018-02-10",29
"2018-02-11",30
"2018-02-12",31
"2018-02-13",23
"2018-02-14",22
"2018-02-15",17
"2018-02-16",18
"2018-02-17",32
"2018-02-18",45
"2018-02-19",41
"2018-02-20",38
"2018-02-21",42
"2018-02-22",32
"2018-02-23",25
"2018-02-24",30
"2018-02-25",36
"2018-02-26",29
"2018-02-27",39
"2018-02-28",21
"2018-03-01",31
"2018-03-02",29
"2018-03-03",30
"2018-03-04",41
"2018-03-05",28
"2018-03-06",29
"2018-03-07",27
"2018-03-08",25
"2018-03-09",27
"2018-03-10",29
"2018-03-11",40
"2018-03-12",28
"2018-03-13",26
"2018-03-14",25
"2018-03-15",21
"2018-03-16",22
"2018-03-17",21
"2018-03-18",29
"2018-03-19",29
"2018-03-20",27
"2018-03-21",25
"2018-03-22",22
"2018-03-23",21
"2018-03-24",23
"2018-03-25",32
"2018-03-26",28
"2018-03-27",24
"2018-03-28",25
"2018-03-29",25
"2018-03-30",17
"2018-03-31",22
"2018-04-01",39
"2018-04-02",30
"2018-04-03",35
"2018-04-04",27
"2018-04-05",26
"2018-04-06",24
"2018-04-07",29
"2018-04-08",34
"2018-04-09",32
"2018-04-10",29
"2018-04-11",32
"2018-04-12",28
"2018-04-13",23
"2018-04-14",28
"2018-04-15",35
"2018-04-16",30
"2018-04-17",30
"2018-04-18",28
"2018-04-19",23
