네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","남성구스다운"
"2017-08-01",1
"2017-08-02",1
"2017-08-03",1
"2017-08-04",1
"2017-08-05",1
"2017-08-06",1
"2017-08-07",1
"2017-08-08",1
"2017-08-09",1
"2017-08-10",2
"2017-08-11",1
"2017-08-12",3
"2017-08-13",2
"2017-08-14",1
"2017-08-15",3
"2017-08-16",2
"2017-08-17",2
"2017-08-18",2
"2017-08-19",3
"2017-08-20",4
"2017-08-21",3
"2017-08-22",2
"2017-08-23",2
"2017-08-24",4
"2017-08-25",3
"2017-08-26",2
"2017-08-27",2
"2017-08-28",3
"2017-08-29",5
"2017-08-30",3
"2017-08-31",3
"2017-09-01",4
"2017-09-02",2
"2017-09-03",2
"2017-09-04",3
"2017-09-05",2
"2017-09-06",3
"2017-09-07",3
"2017-09-08",3
"2017-09-09",2
"2017-09-10",3
"2017-09-11",2
"2017-09-12",3
"2017-09-13",3
"2017-09-14",2
"2017-09-15",4
"2017-09-16",2
"2017-09-17",4
"2017-09-18",2
"2017-09-19",3
"2017-09-20",3
"2017-09-21",3
"2017-09-22",3
"2017-09-23",3
"2017-09-24",6
"2017-09-25",2
"2017-09-26",2
"2017-09-27",1
"2017-09-28",2
"2017-09-29",2
"2017-09-30",4
"2017-10-01",5
"2017-10-02",4
"2017-10-03",2
"2017-10-04",4
"2017-10-05",5
"2017-10-06",5
"2017-10-07",4
"2017-10-08",6
"2017-10-09",5
"2017-10-10",4
"2017-10-11",6
"2017-10-12",8
"2017-10-13",9
"2017-10-14",8
"2017-10-15",13
"2017-10-16",9
"2017-10-17",8
"2017-10-18",12
"2017-10-19",10
"2017-10-20",11
"2017-10-21",12
"2017-10-22",15
"2017-10-23",15
"2017-10-24",15
"2017-10-25",17
"2017-10-26",12
"2017-10-27",11
"2017-10-28",15
"2017-10-29",22
"2017-10-30",33
"2017-10-31",29
"2017-11-01",28
"2017-11-02",23
"2017-11-03",20
"2017-11-04",29
"2017-11-05",38
"2017-11-06",33
"2017-11-07",26
"2017-11-08",23
"2017-11-09",25
"2017-11-10",23
"2017-11-11",33
"2017-11-12",39
"2017-11-13",47
"2017-11-14",44
"2017-11-15",43
"2017-11-16",57
"2017-11-17",50
"2017-11-18",66
"2017-11-19",100
"2017-11-20",94
"2017-11-21",77
"2017-11-22",63
"2017-11-23",72
"2017-11-24",64
"2017-11-25",76
"2017-11-26",82
"2017-11-27",74
"2017-11-28",53
"2017-11-29",58
"2017-11-30",72
"2017-12-01",67
"2017-12-02",63
"2017-12-03",71
"2017-12-04",75
"2017-12-05",79
"2017-12-06",73
"2017-12-07",56
"2017-12-08",52
"2017-12-09",58
"2017-12-10",65
"2017-12-11",83
"2017-12-12",85
"2017-12-13",75
"2017-12-14",57
"2017-12-15",49
"2017-12-16",63
"2017-12-17",80
"2017-12-18",71
"2017-12-19",67
"2017-12-20",57
"2017-12-21",41
"2017-12-22",36
"2017-12-23",33
"2017-12-24",41
"2017-12-25",46
"2017-12-26",43
"2017-12-27",44
"2017-12-28",40
"2017-12-29",32
"2017-12-30",36
"2017-12-31",28
"2018-01-01",36
"2018-01-02",37
"2018-01-03",37
"2018-01-04",36
"2018-01-05",32
"2018-01-06",33
"2018-01-07",49
"2018-01-08",40
"2018-01-09",39
"2018-01-10",40
"2018-01-11",53
"2018-01-12",38
"2018-01-13",39
"2018-01-14",41
"2018-01-15",32
"2018-01-16",25
"2018-01-17",24
"2018-01-18",20
"2018-01-19",17
"2018-01-20",20
"2018-01-21",22
"2018-01-22",22
"2018-01-23",35
"2018-01-24",44
"2018-01-25",44
"2018-01-26",43
"2018-01-27",40
"2018-01-28",50
"2018-01-29",44
"2018-01-30",41
"2018-01-31",26
"2018-02-01",29
"2018-02-02",24
"2018-02-03",33
"2018-02-04",50
"2018-02-05",51
"2018-02-06",46
"2018-02-07",41
"2018-02-08",31
"2018-02-09",28
"2018-02-10",26
"2018-02-11",39
"2018-02-12",25
"2018-02-13",21
"2018-02-14",14
"2018-02-15",15
"2018-02-16",17
"2018-02-17",23
"2018-02-18",28
"2018-02-19",17
"2018-02-20",14
"2018-02-21",14
"2018-02-22",16
"2018-02-23",13
"2018-02-24",13
"2018-02-25",18
"2018-02-26",11
"2018-02-27",8
"2018-02-28",9
"2018-03-01",11
"2018-03-02",9
"2018-03-03",9
"2018-03-04",9
"2018-03-05",6
"2018-03-06",5
"2018-03-07",4
"2018-03-08",5
"2018-03-09",2
"2018-03-10",5
"2018-03-11",6
"2018-03-12",2
"2018-03-13",2
"2018-03-14",2
"2018-03-15",1
"2018-03-16",1
"2018-03-17",2
"2018-03-18",3
"2018-03-19",2
"2018-03-20",2
"2018-03-21",2
"2018-03-22",2
"2018-03-23",1
"2018-03-24",1
"2018-03-25",4
"2018-03-26",1
"2018-03-27",1
"2018-03-28",
"2018-03-29",1
"2018-03-30",
"2018-03-31",1
"2018-04-01",1
"2018-04-02",
"2018-04-03",1
"2018-04-04",
"2018-04-05",1
"2018-04-06",1
"2018-04-07",1
"2018-04-08",1
"2018-04-09",1
"2018-04-10",1
"2018-04-11",1
"2018-04-12",1
"2018-04-13",1
"2018-04-14",1
"2018-04-15",1
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",1
