네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","여성래쉬가드"
"2017-08-01",92
"2017-08-02",100
"2017-08-03",79
"2017-08-04",65
"2017-08-05",77
"2017-08-06",96
"2017-08-07",93
"2017-08-08",92
"2017-08-09",73
"2017-08-10",53
"2017-08-11",46
"2017-08-12",47
"2017-08-13",54
"2017-08-14",49
"2017-08-15",49
"2017-08-16",42
"2017-08-17",38
"2017-08-18",27
"2017-08-19",28
"2017-08-20",41
"2017-08-21",35
"2017-08-22",29
"2017-08-23",26
"2017-08-24",25
"2017-08-25",16
"2017-08-26",21
"2017-08-27",25
"2017-08-28",21
"2017-08-29",20
"2017-08-30",15
"2017-08-31",15
"2017-09-01",9
"2017-09-02",12
"2017-09-03",16
"2017-09-04",16
"2017-09-05",16
"2017-09-06",14
"2017-09-07",12
"2017-09-08",12
"2017-09-09",9
"2017-09-10",15
"2017-09-11",15
"2017-09-12",14
"2017-09-13",12
"2017-09-14",13
"2017-09-15",9
"2017-09-16",10
"2017-09-17",16
"2017-09-18",14
"2017-09-19",16
"2017-09-20",13
"2017-09-21",11
"2017-09-22",11
"2017-09-23",10
"2017-09-24",16
"2017-09-25",15
"2017-09-26",10
"2017-09-27",10
"2017-09-28",7
"2017-09-29",5
"2017-09-30",4
"2017-10-01",6
"2017-10-02",6
"2017-10-03",6
"2017-10-04",5
"2017-10-05",6
"2017-10-06",11
"2017-10-07",10
"2017-10-08",9
"2017-10-09",15
"2017-10-10",12
"2017-10-11",12
"2017-10-12",10
"2017-10-13",8
"2017-10-14",11
"2017-10-15",10
"2017-10-16",13
"2017-10-17",12
"2017-10-18",10
"2017-10-19",10
"2017-10-20",8
"2017-10-21",9
"2017-10-22",13
"2017-10-23",13
"2017-10-24",10
"2017-10-25",11
"2017-10-26",9
"2017-10-27",10
"2017-10-28",10
"2017-10-29",10
"2017-10-30",8
"2017-10-31",12
"2017-11-01",11
"2017-11-02",11
"2017-11-03",10
"2017-11-04",11
"2017-11-05",14
"2017-11-06",13
"2017-11-07",13
"2017-11-08",13
"2017-11-09",11
"2017-11-10",10
"2017-11-11",11
"2017-11-12",15
"2017-11-13",13
"2017-11-14",14
"2017-11-15",11
"2017-11-16",9
"2017-11-17",11
"2017-11-18",10
"2017-11-19",11
"2017-11-20",16
"2017-11-21",12
"2017-11-22",13
"2017-11-23",12
"2017-11-24",11
"2017-11-25",8
"2017-11-26",15
"2017-11-27",17
"2017-11-28",14
"2017-11-29",12
"2017-11-30",13
"2017-12-01",11
"2017-12-02",12
"2017-12-03",18
"2017-12-04",16
"2017-12-05",17
"2017-12-06",19
"2017-12-07",14
"2017-12-08",14
"2017-12-09",12
"2017-12-10",21
"2017-12-11",20
"2017-12-12",19
"2017-12-13",17
"2017-12-14",12
"2017-12-15",12
"2017-12-16",15
"2017-12-17",22
"2017-12-18",20
"2017-12-19",17
"2017-12-20",16
"2017-12-21",11
"2017-12-22",10
"2017-12-23",13
"2017-12-24",12
"2017-12-25",19
"2017-12-26",19
"2017-12-27",17
"2017-12-28",17
"2017-12-29",12
"2017-12-30",14
"2017-12-31",12
"2018-01-01",18
"2018-01-02",19
"2018-01-03",17
"2018-01-04",21
"2018-01-05",17
"2018-01-06",20
"2018-01-07",25
"2018-01-08",26
"2018-01-09",23
"2018-01-10",23
"2018-01-11",19
"2018-01-12",20
"2018-01-13",19
"2018-01-14",24
"2018-01-15",25
"2018-01-16",28
"2018-01-17",22
"2018-01-18",22
"2018-01-19",17
"2018-01-20",21
"2018-01-21",26
"2018-01-22",24
"2018-01-23",26
"2018-01-24",18
"2018-01-25",18
"2018-01-26",13
"2018-01-27",18
"2018-01-28",24
"2018-01-29",23
"2018-01-30",21
"2018-01-31",25
"2018-02-01",25
"2018-02-02",18
"2018-02-03",22
"2018-02-04",29
"2018-02-05",25
"2018-02-06",28
"2018-02-07",26
"2018-02-08",23
"2018-02-09",17
"2018-02-10",17
"2018-02-11",20
"2018-02-12",20
"2018-02-13",13
"2018-02-14",11
"2018-02-15",12
"2018-02-16",11
"2018-02-17",14
"2018-02-18",21
"2018-02-19",22
"2018-02-20",21
"2018-02-21",20
"2018-02-22",17
"2018-02-23",14
"2018-02-24",15
"2018-02-25",19
"2018-02-26",20
"2018-02-27",16
"2018-02-28",14
"2018-03-01",19
"2018-03-02",15
"2018-03-03",17
"2018-03-04",22
"2018-03-05",14
"2018-03-06",15
"2018-03-07",19
"2018-03-08",12
"2018-03-09",12
"2018-03-10",15
"2018-03-11",21
"2018-03-12",17
"2018-03-13",16
"2018-03-14",16
"2018-03-15",13
"2018-03-16",13
"2018-03-17",15
"2018-03-18",23
"2018-03-19",19
"2018-03-20",19
"2018-03-21",14
"2018-03-22",14
"2018-03-23",13
"2018-03-24",12
"2018-03-25",18
"2018-03-26",17
"2018-03-27",20
"2018-03-28",17
"2018-03-29",14
"2018-03-30",11
"2018-03-31",13
"2018-04-01",20
"2018-04-02",16
"2018-04-03",22
"2018-04-04",17
"2018-04-05",17
"2018-04-06",14
"2018-04-07",19
"2018-04-08",27
"2018-04-09",21
"2018-04-10",21
"2018-04-11",19
"2018-04-12",18
"2018-04-13",16
"2018-04-14",18
"2018-04-15",22
"2018-04-16",19
"2018-04-17",25
"2018-04-18",25
"2018-04-19",17
