네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","여성골프웨어"
"2017-08-01",26
"2017-08-02",27
"2017-08-03",30
"2017-08-04",32
"2017-08-05",29
"2017-08-06",30
"2017-08-07",30
"2017-08-08",28
"2017-08-09",32
"2017-08-10",25
"2017-08-11",22
"2017-08-12",24
"2017-08-13",33
"2017-08-14",26
"2017-08-15",32
"2017-08-16",23
"2017-08-17",31
"2017-08-18",28
"2017-08-19",31
"2017-08-20",43
"2017-08-21",37
"2017-08-22",29
"2017-08-23",31
"2017-08-24",30
"2017-08-25",32
"2017-08-26",32
"2017-08-27",46
"2017-08-28",35
"2017-08-29",35
"2017-08-30",43
"2017-08-31",41
"2017-09-01",50
"2017-09-02",44
"2017-09-03",52
"2017-09-04",51
"2017-09-05",49
"2017-09-06",46
"2017-09-07",51
"2017-09-08",50
"2017-09-09",53
"2017-09-10",71
"2017-09-11",51
"2017-09-12",52
"2017-09-13",43
"2017-09-14",54
"2017-09-15",55
"2017-09-16",56
"2017-09-17",73
"2017-09-18",55
"2017-09-19",66
"2017-09-20",49
"2017-09-21",53
"2017-09-22",50
"2017-09-23",52
"2017-09-24",60
"2017-09-25",48
"2017-09-26",44
"2017-09-27",41
"2017-09-28",39
"2017-09-29",42
"2017-09-30",48
"2017-10-01",65
"2017-10-02",54
"2017-10-03",45
"2017-10-04",35
"2017-10-05",44
"2017-10-06",60
"2017-10-07",62
"2017-10-08",64
"2017-10-09",66
"2017-10-10",62
"2017-10-11",70
"2017-10-12",61
"2017-10-13",60
"2017-10-14",63
"2017-10-15",68
"2017-10-16",73
"2017-10-17",71
"2017-10-18",63
"2017-10-19",57
"2017-10-20",53
"2017-10-21",50
"2017-10-22",60
"2017-10-23",54
"2017-10-24",65
"2017-10-25",56
"2017-10-26",51
"2017-10-27",43
"2017-10-28",52
"2017-10-29",66
"2017-10-30",73
"2017-10-31",63
"2017-11-01",63
"2017-11-02",74
"2017-11-03",69
"2017-11-04",73
"2017-11-05",90
"2017-11-06",76
"2017-11-07",76
"2017-11-08",75
"2017-11-09",67
"2017-11-10",66
"2017-11-11",65
"2017-11-12",84
"2017-11-13",65
"2017-11-14",65
"2017-11-15",58
"2017-11-16",57
"2017-11-17",53
"2017-11-18",56
"2017-11-19",57
"2017-11-20",43
"2017-11-21",46
"2017-11-22",54
"2017-11-23",39
"2017-11-24",37
"2017-11-25",39
"2017-11-26",43
"2017-11-27",36
"2017-11-28",34
"2017-11-29",28
"2017-11-30",36
"2017-12-01",25
"2017-12-02",37
"2017-12-03",39
"2017-12-04",32
"2017-12-05",36
"2017-12-06",27
"2017-12-07",27
"2017-12-08",27
"2017-12-09",35
"2017-12-10",37
"2017-12-11",28
"2017-12-12",29
"2017-12-13",30
"2017-12-14",21
"2017-12-15",27
"2017-12-16",27
"2017-12-17",24
"2017-12-18",21
"2017-12-19",21
"2017-12-20",20
"2017-12-21",15
"2017-12-22",9
"2017-12-23",14
"2017-12-24",22
"2017-12-25",24
"2017-12-26",21
"2017-12-27",22
"2017-12-28",22
"2017-12-29",16
"2017-12-30",27
"2017-12-31",20
"2018-01-01",30
"2018-01-02",20
"2018-01-03",31
"2018-01-04",27
"2018-01-05",22
"2018-01-06",23
"2018-01-07",22
"2018-01-08",28
"2018-01-09",20
"2018-01-10",28
"2018-01-11",23
"2018-01-12",25
"2018-01-13",24
"2018-01-14",31
"2018-01-15",21
"2018-01-16",25
"2018-01-17",23
"2018-01-18",27
"2018-01-19",17
"2018-01-20",31
"2018-01-21",44
"2018-01-22",23
"2018-01-23",23
"2018-01-24",36
"2018-01-25",30
"2018-01-26",28
"2018-01-27",46
"2018-01-28",42
"2018-01-29",38
"2018-01-30",32
"2018-01-31",29
"2018-02-01",35
"2018-02-02",27
"2018-02-03",34
"2018-02-04",34
"2018-02-05",30
"2018-02-06",34
"2018-02-07",45
"2018-02-08",26
"2018-02-09",28
"2018-02-10",34
"2018-02-11",45
"2018-02-12",28
"2018-02-13",31
"2018-02-14",20
"2018-02-15",21
"2018-02-16",24
"2018-02-17",29
"2018-02-18",44
"2018-02-19",33
"2018-02-20",32
"2018-02-21",29
"2018-02-22",39
"2018-02-23",32
"2018-02-24",43
"2018-02-25",37
"2018-02-26",33
"2018-02-27",41
"2018-02-28",45
"2018-03-01",72
"2018-03-02",53
"2018-03-03",55
"2018-03-04",64
"2018-03-05",60
"2018-03-06",51
"2018-03-07",55
"2018-03-08",53
"2018-03-09",45
"2018-03-10",45
"2018-03-11",81
"2018-03-12",61
"2018-03-13",65
"2018-03-14",74
"2018-03-15",70
"2018-03-16",60
"2018-03-17",72
"2018-03-18",92
"2018-03-19",64
"2018-03-20",64
"2018-03-21",69
"2018-03-22",74
"2018-03-23",64
"2018-03-24",62
"2018-03-25",78
"2018-03-26",66
"2018-03-27",75
"2018-03-28",64
"2018-03-29",64
"2018-03-30",65
"2018-03-31",85
"2018-04-01",100
"2018-04-02",85
"2018-04-03",83
"2018-04-04",88
"2018-04-05",75
"2018-04-06",62
"2018-04-07",78
"2018-04-08",85
"2018-04-09",74
"2018-04-10",70
"2018-04-11",85
"2018-04-12",72
"2018-04-13",75
"2018-04-14",81
"2018-04-15",79
"2018-04-16",73
"2018-04-17",79
"2018-04-18",74
"2018-04-19",75
