네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","축구화"
"2017-08-01",23
"2017-08-02",34
"2017-08-03",22
"2017-08-04",19
"2017-08-05",22
"2017-08-06",31
"2017-08-07",29
"2017-08-08",32
"2017-08-09",21
"2017-08-10",26
"2017-08-11",21
"2017-08-12",25
"2017-08-13",30
"2017-08-14",29
"2017-08-15",32
"2017-08-16",28
"2017-08-17",34
"2017-08-18",27
"2017-08-19",32
"2017-08-20",35
"2017-08-21",30
"2017-08-22",27
"2017-08-23",31
"2017-08-24",39
"2017-08-25",25
"2017-08-26",28
"2017-08-27",44
"2017-08-28",30
"2017-08-29",39
"2017-08-30",33
"2017-08-31",37
"2017-09-01",39
"2017-09-02",52
"2017-09-03",49
"2017-09-04",50
"2017-09-05",54
"2017-09-06",38
"2017-09-07",44
"2017-09-08",39
"2017-09-09",56
"2017-09-10",56
"2017-09-11",60
"2017-09-12",47
"2017-09-13",44
"2017-09-14",44
"2017-09-15",38
"2017-09-16",47
"2017-09-17",65
"2017-09-18",54
"2017-09-19",44
"2017-09-20",39
"2017-09-21",39
"2017-09-22",37
"2017-09-23",43
"2017-09-24",58
"2017-09-25",39
"2017-09-26",47
"2017-09-27",26
"2017-09-28",30
"2017-09-29",28
"2017-09-30",44
"2017-10-01",46
"2017-10-02",39
"2017-10-03",42
"2017-10-04",37
"2017-10-05",34
"2017-10-06",40
"2017-10-07",46
"2017-10-08",42
"2017-10-09",49
"2017-10-10",38
"2017-10-11",43
"2017-10-12",39
"2017-10-13",33
"2017-10-14",43
"2017-10-15",49
"2017-10-16",44
"2017-10-17",31
"2017-10-18",43
"2017-10-19",37
"2017-10-20",32
"2017-10-21",57
"2017-10-22",57
"2017-10-23",43
"2017-10-24",53
"2017-10-25",48
"2017-10-26",36
"2017-10-27",38
"2017-10-28",50
"2017-10-29",57
"2017-10-30",32
"2017-10-31",38
"2017-11-01",41
"2017-11-02",38
"2017-11-03",34
"2017-11-04",44
"2017-11-05",60
"2017-11-06",45
"2017-11-07",42
"2017-11-08",41
"2017-11-09",37
"2017-11-10",38
"2017-11-11",45
"2017-11-12",58
"2017-11-13",40
"2017-11-14",46
"2017-11-15",37
"2017-11-16",33
"2017-11-17",28
"2017-11-18",46
"2017-11-19",46
"2017-11-20",33
"2017-11-21",29
"2017-11-22",34
"2017-11-23",32
"2017-11-24",32
"2017-11-25",37
"2017-11-26",40
"2017-11-27",34
"2017-11-28",31
"2017-11-29",29
"2017-11-30",31
"2017-12-01",29
"2017-12-02",41
"2017-12-03",57
"2017-12-04",33
"2017-12-05",35
"2017-12-06",38
"2017-12-07",35
"2017-12-08",29
"2017-12-09",37
"2017-12-10",47
"2017-12-11",28
"2017-12-12",28
"2017-12-13",28
"2017-12-14",29
"2017-12-15",24
"2017-12-16",42
"2017-12-17",40
"2017-12-18",32
"2017-12-19",27
"2017-12-20",24
"2017-12-21",27
"2017-12-22",27
"2017-12-23",33
"2017-12-24",29
"2017-12-25",44
"2017-12-26",32
"2017-12-27",24
"2017-12-28",22
"2017-12-29",26
"2017-12-30",30
"2017-12-31",25
"2018-01-01",29
"2018-01-02",32
"2018-01-03",23
"2018-01-04",21
"2018-01-05",23
"2018-01-06",32
"2018-01-07",35
"2018-01-08",34
"2018-01-09",29
"2018-01-10",32
"2018-01-11",29
"2018-01-12",25
"2018-01-13",24
"2018-01-14",33
"2018-01-15",34
"2018-01-16",30
"2018-01-17",24
"2018-01-18",28
"2018-01-19",30
"2018-01-20",35
"2018-01-21",39
"2018-01-22",37
"2018-01-23",31
"2018-01-24",31
"2018-01-25",27
"2018-01-26",20
"2018-01-27",30
"2018-01-28",35
"2018-01-29",29
"2018-01-30",37
"2018-01-31",33
"2018-02-01",35
"2018-02-02",30
"2018-02-03",40
"2018-02-04",36
"2018-02-05",37
"2018-02-06",29
"2018-02-07",33
"2018-02-08",32
"2018-02-09",22
"2018-02-10",36
"2018-02-11",46
"2018-02-12",30
"2018-02-13",29
"2018-02-14",26
"2018-02-15",30
"2018-02-16",35
"2018-02-17",42
"2018-02-18",51
"2018-02-19",41
"2018-02-20",36
"2018-02-21",39
"2018-02-22",45
"2018-02-23",35
"2018-02-24",35
"2018-02-25",38
"2018-02-26",44
"2018-02-27",45
"2018-02-28",42
"2018-03-01",46
"2018-03-02",42
"2018-03-03",52
"2018-03-04",69
"2018-03-05",53
"2018-03-06",54
"2018-03-07",67
"2018-03-08",67
"2018-03-09",58
"2018-03-10",81
"2018-03-11",86
"2018-03-12",74
"2018-03-13",75
"2018-03-14",64
"2018-03-15",68
"2018-03-16",59
"2018-03-17",90
"2018-03-18",100
"2018-03-19",62
"2018-03-20",63
"2018-03-21",61
"2018-03-22",70
"2018-03-23",60
"2018-03-24",94
"2018-03-25",99
"2018-03-26",66
"2018-03-27",54
"2018-03-28",69
"2018-03-29",65
"2018-03-30",63
"2018-03-31",68
"2018-04-01",98
"2018-04-02",79
"2018-04-03",76
"2018-04-04",68
"2018-04-05",71
"2018-04-06",58
"2018-04-07",77
"2018-04-08",87
"2018-04-09",70
"2018-04-10",69
"2018-04-11",78
"2018-04-12",60
"2018-04-13",64
"2018-04-14",93
"2018-04-15",91
"2018-04-16",85
"2018-04-17",67
"2018-04-18",65
"2018-04-19",64
