네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","남성등산바지"
"2017-08-01",11
"2017-08-02",8
"2017-08-03",9
"2017-08-04",9
"2017-08-05",5
"2017-08-06",7
"2017-08-07",12
"2017-08-08",8
"2017-08-09",11
"2017-08-10",14
"2017-08-11",9
"2017-08-12",11
"2017-08-13",10
"2017-08-14",21
"2017-08-15",16
"2017-08-16",22
"2017-08-17",23
"2017-08-18",17
"2017-08-19",17
"2017-08-20",24
"2017-08-21",21
"2017-08-22",18
"2017-08-23",25
"2017-08-24",19
"2017-08-25",17
"2017-08-26",17
"2017-08-27",28
"2017-08-28",32
"2017-08-29",40
"2017-08-30",35
"2017-08-31",36
"2017-09-01",24
"2017-09-02",27
"2017-09-03",40
"2017-09-04",42
"2017-09-05",42
"2017-09-06",40
"2017-09-07",37
"2017-09-08",33
"2017-09-09",37
"2017-09-10",43
"2017-09-11",36
"2017-09-12",33
"2017-09-13",38
"2017-09-14",35
"2017-09-15",28
"2017-09-16",33
"2017-09-17",48
"2017-09-18",47
"2017-09-19",48
"2017-09-20",38
"2017-09-21",41
"2017-09-22",28
"2017-09-23",29
"2017-09-24",55
"2017-09-25",36
"2017-09-26",42
"2017-09-27",30
"2017-09-28",31
"2017-09-29",24
"2017-09-30",30
"2017-10-01",33
"2017-10-02",32
"2017-10-03",31
"2017-10-04",27
"2017-10-05",30
"2017-10-06",44
"2017-10-07",43
"2017-10-08",51
"2017-10-09",58
"2017-10-10",59
"2017-10-11",62
"2017-10-12",72
"2017-10-13",61
"2017-10-14",51
"2017-10-15",80
"2017-10-16",88
"2017-10-17",62
"2017-10-18",66
"2017-10-19",58
"2017-10-20",57
"2017-10-21",42
"2017-10-22",67
"2017-10-23",65
"2017-10-24",79
"2017-10-25",61
"2017-10-26",66
"2017-10-27",40
"2017-10-28",40
"2017-10-29",75
"2017-10-30",69
"2017-10-31",67
"2017-11-01",59
"2017-11-02",49
"2017-11-03",42
"2017-11-04",56
"2017-11-05",72
"2017-11-06",71
"2017-11-07",60
"2017-11-08",52
"2017-11-09",52
"2017-11-10",47
"2017-11-11",40
"2017-11-12",62
"2017-11-13",54
"2017-11-14",43
"2017-11-15",50
"2017-11-16",57
"2017-11-17",38
"2017-11-18",40
"2017-11-19",48
"2017-11-20",45
"2017-11-21",43
"2017-11-22",32
"2017-11-23",31
"2017-11-24",40
"2017-11-25",41
"2017-11-26",47
"2017-11-27",44
"2017-11-28",33
"2017-11-29",32
"2017-11-30",28
"2017-12-01",25
"2017-12-02",32
"2017-12-03",41
"2017-12-04",34
"2017-12-05",42
"2017-12-06",23
"2017-12-07",25
"2017-12-08",26
"2017-12-09",22
"2017-12-10",43
"2017-12-11",40
"2017-12-12",35
"2017-12-13",26
"2017-12-14",30
"2017-12-15",11
"2017-12-16",21
"2017-12-17",35
"2017-12-18",23
"2017-12-19",22
"2017-12-20",21
"2017-12-21",23
"2017-12-22",17
"2017-12-23",16
"2017-12-24",29
"2017-12-25",24
"2017-12-26",34
"2017-12-27",27
"2017-12-28",22
"2017-12-29",21
"2017-12-30",17
"2017-12-31",21
"2018-01-01",25
"2018-01-02",23
"2018-01-03",24
"2018-01-04",21
"2018-01-05",12
"2018-01-06",12
"2018-01-07",28
"2018-01-08",29
"2018-01-09",23
"2018-01-10",22
"2018-01-11",18
"2018-01-12",12
"2018-01-13",15
"2018-01-14",27
"2018-01-15",26
"2018-01-16",23
"2018-01-17",18
"2018-01-18",14
"2018-01-19",16
"2018-01-20",17
"2018-01-21",26
"2018-01-22",17
"2018-01-23",18
"2018-01-24",20
"2018-01-25",16
"2018-01-26",15
"2018-01-27",27
"2018-01-28",24
"2018-01-29",28
"2018-01-30",22
"2018-01-31",28
"2018-02-01",24
"2018-02-02",19
"2018-02-03",26
"2018-02-04",42
"2018-02-05",26
"2018-02-06",33
"2018-02-07",21
"2018-02-08",17
"2018-02-09",14
"2018-02-10",18
"2018-02-11",25
"2018-02-12",19
"2018-02-13",14
"2018-02-14",11
"2018-02-15",19
"2018-02-16",19
"2018-02-17",24
"2018-02-18",33
"2018-02-19",29
"2018-02-20",26
"2018-02-21",24
"2018-02-22",34
"2018-02-23",23
"2018-02-24",25
"2018-02-25",38
"2018-02-26",47
"2018-02-27",35
"2018-02-28",35
"2018-03-01",47
"2018-03-02",38
"2018-03-03",41
"2018-03-04",56
"2018-03-05",45
"2018-03-06",45
"2018-03-07",44
"2018-03-08",39
"2018-03-09",40
"2018-03-10",37
"2018-03-11",65
"2018-03-12",60
"2018-03-13",55
"2018-03-14",63
"2018-03-15",71
"2018-03-16",47
"2018-03-17",51
"2018-03-18",77
"2018-03-19",54
"2018-03-20",62
"2018-03-21",53
"2018-03-22",50
"2018-03-23",34
"2018-03-24",43
"2018-03-25",62
"2018-03-26",68
"2018-03-27",77
"2018-03-28",65
"2018-03-29",67
"2018-03-30",55
"2018-03-31",60
"2018-04-01",94
"2018-04-02",100
"2018-04-03",98
"2018-04-04",73
"2018-04-05",75
"2018-04-06",39
"2018-04-07",45
"2018-04-08",76
"2018-04-09",74
"2018-04-10",78
"2018-04-11",72
"2018-04-12",69
"2018-04-13",50
"2018-04-14",58
"2018-04-15",87
"2018-04-16",79
"2018-04-17",67
"2018-04-18",56
"2018-04-19",57
