네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","요가매트"
"2017-08-01",64
"2017-08-02",63
"2017-08-03",56
"2017-08-04",46
"2017-08-05",59
"2017-08-06",92
"2017-08-07",100
"2017-08-08",87
"2017-08-09",76
"2017-08-10",63
"2017-08-11",69
"2017-08-12",50
"2017-08-13",64
"2017-08-14",72
"2017-08-15",81
"2017-08-16",72
"2017-08-17",69
"2017-08-18",57
"2017-08-19",56
"2017-08-20",73
"2017-08-21",75
"2017-08-22",76
"2017-08-23",77
"2017-08-24",76
"2017-08-25",41
"2017-08-26",40
"2017-08-27",52
"2017-08-28",52
"2017-08-29",76
"2017-08-30",47
"2017-08-31",34
"2017-09-01",29
"2017-09-02",25
"2017-09-03",29
"2017-09-04",37
"2017-09-05",42
"2017-09-06",33
"2017-09-07",33
"2017-09-08",29
"2017-09-09",27
"2017-09-10",32
"2017-09-11",38
"2017-09-12",44
"2017-09-13",38
"2017-09-14",38
"2017-09-15",31
"2017-09-16",29
"2017-09-17",40
"2017-09-18",38
"2017-09-19",39
"2017-09-20",40
"2017-09-21",35
"2017-09-22",30
"2017-09-23",25
"2017-09-24",31
"2017-09-25",35
"2017-09-26",34
"2017-09-27",36
"2017-09-28",28
"2017-09-29",18
"2017-09-30",16
"2017-10-01",21
"2017-10-02",21
"2017-10-03",16
"2017-10-04",16
"2017-10-05",20
"2017-10-06",25
"2017-10-07",29
"2017-10-08",31
"2017-10-09",38
"2017-10-10",44
"2017-10-11",45
"2017-10-12",39
"2017-10-13",29
"2017-10-14",22
"2017-10-15",29
"2017-10-16",38
"2017-10-17",34
"2017-10-18",32
"2017-10-19",29
"2017-10-20",29
"2017-10-21",24
"2017-10-22",28
"2017-10-23",33
"2017-10-24",32
"2017-10-25",31
"2017-10-26",35
"2017-10-27",24
"2017-10-28",22
"2017-10-29",30
"2017-10-30",33
"2017-10-31",28
"2017-11-01",34
"2017-11-02",34
"2017-11-03",27
"2017-11-04",23
"2017-11-05",30
"2017-11-06",37
"2017-11-07",33
"2017-11-08",30
"2017-11-09",28
"2017-11-10",25
"2017-11-11",21
"2017-11-12",28
"2017-11-13",32
"2017-11-14",29
"2017-11-15",28
"2017-11-16",25
"2017-11-17",21
"2017-11-18",20
"2017-11-19",21
"2017-11-20",24
"2017-11-21",30
"2017-11-22",24
"2017-11-23",25
"2017-11-24",20
"2017-11-25",21
"2017-11-26",29
"2017-11-27",31
"2017-11-28",29
"2017-11-29",32
"2017-11-30",29
"2017-12-01",22
"2017-12-02",21
"2017-12-03",28
"2017-12-04",36
"2017-12-05",36
"2017-12-06",31
"2017-12-07",28
"2017-12-08",25
"2017-12-09",20
"2017-12-10",26
"2017-12-11",34
"2017-12-12",30
"2017-12-13",26
"2017-12-14",26
"2017-12-15",23
"2017-12-16",23
"2017-12-17",22
"2017-12-18",26
"2017-12-19",24
"2017-12-20",24
"2017-12-21",21
"2017-12-22",19
"2017-12-23",18
"2017-12-24",17
"2017-12-25",26
"2017-12-26",30
"2017-12-27",31
"2017-12-28",24
"2017-12-29",21
"2017-12-30",22
"2017-12-31",23
"2018-01-01",32
"2018-01-02",41
"2018-01-03",44
"2018-01-04",38
"2018-01-05",28
"2018-01-06",30
"2018-01-07",33
"2018-01-08",40
"2018-01-09",36
"2018-01-10",33
"2018-01-11",31
"2018-01-12",28
"2018-01-13",26
"2018-01-14",34
"2018-01-15",38
"2018-01-16",40
"2018-01-17",38
"2018-01-18",33
"2018-01-19",30
"2018-01-20",28
"2018-01-21",34
"2018-01-22",39
"2018-01-23",44
"2018-01-24",40
"2018-01-25",34
"2018-01-26",31
"2018-01-27",26
"2018-01-28",40
"2018-01-29",47
"2018-01-30",42
"2018-01-31",41
"2018-02-01",42
"2018-02-02",34
"2018-02-03",37
"2018-02-04",44
"2018-02-05",43
"2018-02-06",42
"2018-02-07",39
"2018-02-08",38
"2018-02-09",25
"2018-02-10",25
"2018-02-11",32
"2018-02-12",29
"2018-02-13",26
"2018-02-14",22
"2018-02-15",23
"2018-02-16",22
"2018-02-17",26
"2018-02-18",38
"2018-02-19",49
"2018-02-20",48
"2018-02-21",44
"2018-02-22",41
"2018-02-23",37
"2018-02-24",33
"2018-02-25",41
"2018-02-26",47
"2018-02-27",51
"2018-02-28",45
"2018-03-01",48
"2018-03-02",42
"2018-03-03",35
"2018-03-04",55
"2018-03-05",52
"2018-03-06",55
"2018-03-07",58
"2018-03-08",50
"2018-03-09",36
"2018-03-10",32
"2018-03-11",42
"2018-03-12",54
"2018-03-13",52
"2018-03-14",42
"2018-03-15",45
"2018-03-16",34
"2018-03-17",32
"2018-03-18",44
"2018-03-19",59
"2018-03-20",49
"2018-03-21",51
"2018-03-22",40
"2018-03-23",44
"2018-03-24",42
"2018-03-25",51
"2018-03-26",63
"2018-03-27",61
"2018-03-28",54
"2018-03-29",57
"2018-03-30",45
"2018-03-31",36
"2018-04-01",48
"2018-04-02",60
"2018-04-03",58
"2018-04-04",59
"2018-04-05",58
"2018-04-06",47
"2018-04-07",39
"2018-04-08",51
"2018-04-09",56
"2018-04-10",61
"2018-04-11",49
"2018-04-12",52
"2018-04-13",42
"2018-04-14",42
"2018-04-15",50
"2018-04-16",68
"2018-04-17",61
"2018-04-18",57
"2018-04-19",46
