네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","k2패딩"
"2017-08-01",1
"2017-08-02",1
"2017-08-03",1
"2017-08-04",1
"2017-08-05",1
"2017-08-06",1
"2017-08-07",1
"2017-08-08",1
"2017-08-09",2
"2017-08-10",1
"2017-08-11",2
"2017-08-12",2
"2017-08-13",2
"2017-08-14",3
"2017-08-15",4
"2017-08-16",3
"2017-08-17",3
"2017-08-18",2
"2017-08-19",3
"2017-08-20",4
"2017-08-21",3
"2017-08-22",3
"2017-08-23",4
"2017-08-24",2
"2017-08-25",2
"2017-08-26",3
"2017-08-27",3
"2017-08-28",3
"2017-08-29",3
"2017-08-30",4
"2017-08-31",3
"2017-09-01",3
"2017-09-02",3
"2017-09-03",4
"2017-09-04",3
"2017-09-05",2
"2017-09-06",3
"2017-09-07",3
"2017-09-08",2
"2017-09-09",2
"2017-09-10",3
"2017-09-11",3
"2017-09-12",2
"2017-09-13",2
"2017-09-14",2
"2017-09-15",2
"2017-09-16",2
"2017-09-17",3
"2017-09-18",3
"2017-09-19",3
"2017-09-20",3
"2017-09-21",3
"2017-09-22",3
"2017-09-23",3
"2017-09-24",3
"2017-09-25",4
"2017-09-26",3
"2017-09-27",4
"2017-09-28",4
"2017-09-29",3
"2017-09-30",5
"2017-10-01",5
"2017-10-02",5
"2017-10-03",5
"2017-10-04",4
"2017-10-05",5
"2017-10-06",7
"2017-10-07",7
"2017-10-08",6
"2017-10-09",6
"2017-10-10",5
"2017-10-11",6
"2017-10-12",8
"2017-10-13",9
"2017-10-14",9
"2017-10-15",14
"2017-10-16",13
"2017-10-17",12
"2017-10-18",14
"2017-10-19",12
"2017-10-20",9
"2017-10-21",11
"2017-10-22",14
"2017-10-23",14
"2017-10-24",14
"2017-10-25",14
"2017-10-26",14
"2017-10-27",12
"2017-10-28",14
"2017-10-29",25
"2017-10-30",33
"2017-10-31",30
"2017-11-01",28
"2017-11-02",25
"2017-11-03",26
"2017-11-04",33
"2017-11-05",45
"2017-11-06",38
"2017-11-07",30
"2017-11-08",28
"2017-11-09",31
"2017-11-10",28
"2017-11-11",36
"2017-11-12",48
"2017-11-13",46
"2017-11-14",42
"2017-11-15",52
"2017-11-16",65
"2017-11-17",61
"2017-11-18",71
"2017-11-19",100
"2017-11-20",92
"2017-11-21",77
"2017-11-22",63
"2017-11-23",66
"2017-11-24",59
"2017-11-25",59
"2017-11-26",62
"2017-11-27",51
"2017-11-28",43
"2017-11-29",41
"2017-11-30",47
"2017-12-01",47
"2017-12-02",52
"2017-12-03",59
"2017-12-04",52
"2017-12-05",61
"2017-12-06",49
"2017-12-07",42
"2017-12-08",38
"2017-12-09",45
"2017-12-10",56
"2017-12-11",55
"2017-12-12",55
"2017-12-13",55
"2017-12-14",43
"2017-12-15",35
"2017-12-16",38
"2017-12-17",51
"2017-12-18",43
"2017-12-19",37
"2017-12-20",34
"2017-12-21",27
"2017-12-22",22
"2017-12-23",21
"2017-12-24",23
"2017-12-25",29
"2017-12-26",25
"2017-12-27",23
"2017-12-28",23
"2017-12-29",18
"2017-12-30",18
"2017-12-31",19
"2018-01-01",23
"2018-01-02",18
"2018-01-03",19
"2018-01-04",16
"2018-01-05",15
"2018-01-06",17
"2018-01-07",24
"2018-01-08",19
"2018-01-09",18
"2018-01-10",20
"2018-01-11",21
"2018-01-12",22
"2018-01-13",24
"2018-01-14",23
"2018-01-15",16
"2018-01-16",12
"2018-01-17",11
"2018-01-18",9
"2018-01-19",8
"2018-01-20",9
"2018-01-21",12
"2018-01-22",11
"2018-01-23",14
"2018-01-24",18
"2018-01-25",17
"2018-01-26",15
"2018-01-27",19
"2018-01-28",21
"2018-01-29",16
"2018-01-30",15
"2018-01-31",15
"2018-02-01",12
"2018-02-02",10
"2018-02-03",15
"2018-02-04",17
"2018-02-05",17
"2018-02-06",16
"2018-02-07",13
"2018-02-08",10
"2018-02-09",7
"2018-02-10",10
"2018-02-11",12
"2018-02-12",8
"2018-02-13",7
"2018-02-14",6
"2018-02-15",6
"2018-02-16",6
"2018-02-17",8
"2018-02-18",9
"2018-02-19",7
"2018-02-20",6
"2018-02-21",6
"2018-02-22",5
"2018-02-23",4
"2018-02-24",4
"2018-02-25",5
"2018-02-26",4
"2018-02-27",4
"2018-02-28",3
"2018-03-01",5
"2018-03-02",4
"2018-03-03",3
"2018-03-04",4
"2018-03-05",2
"2018-03-06",2
"2018-03-07",2
"2018-03-08",3
"2018-03-09",2
"2018-03-10",3
"2018-03-11",3
"2018-03-12",2
"2018-03-13",1
"2018-03-14",1
"2018-03-15",1
"2018-03-16",1
"2018-03-17",1
"2018-03-18",1
"2018-03-19",2
"2018-03-20",1
"2018-03-21",1
"2018-03-22",1
"2018-03-23",1
"2018-03-24",1
"2018-03-25",1
"2018-03-26",1
"2018-03-27",1
"2018-03-28",
"2018-03-29",
"2018-03-30",1
"2018-03-31",1
"2018-04-01",1
"2018-04-02",1
"2018-04-03",
"2018-04-04",1
"2018-04-05",1
"2018-04-06",1
"2018-04-07",1
"2018-04-08",1
"2018-04-09",1
"2018-04-10",
"2018-04-11",
"2018-04-12",
"2018-04-13",
"2018-04-14",1
"2018-04-15",1
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",
