네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","캠핑의자"
"2017-08-01",69
"2017-08-02",74
"2017-08-03",66
"2017-08-04",57
"2017-08-05",66
"2017-08-06",94
"2017-08-07",97
"2017-08-08",83
"2017-08-09",66
"2017-08-10",60
"2017-08-11",37
"2017-08-12",45
"2017-08-13",84
"2017-08-14",72
"2017-08-15",72
"2017-08-16",56
"2017-08-17",46
"2017-08-18",38
"2017-08-19",44
"2017-08-20",67
"2017-08-21",66
"2017-08-22",54
"2017-08-23",50
"2017-08-24",36
"2017-08-25",24
"2017-08-26",34
"2017-08-27",58
"2017-08-28",44
"2017-08-29",49
"2017-08-30",37
"2017-08-31",32
"2017-09-01",26
"2017-09-02",37
"2017-09-03",70
"2017-09-04",58
"2017-09-05",50
"2017-09-06",42
"2017-09-07",41
"2017-09-08",29
"2017-09-09",36
"2017-09-10",62
"2017-09-11",57
"2017-09-12",52
"2017-09-13",34
"2017-09-14",30
"2017-09-15",28
"2017-09-16",33
"2017-09-17",62
"2017-09-18",58
"2017-09-19",47
"2017-09-20",43
"2017-09-21",38
"2017-09-22",29
"2017-09-23",32
"2017-09-24",62
"2017-09-25",69
"2017-09-26",55
"2017-09-27",45
"2017-09-28",29
"2017-09-29",23
"2017-09-30",23
"2017-10-01",33
"2017-10-02",37
"2017-10-03",31
"2017-10-04",31
"2017-10-05",38
"2017-10-06",48
"2017-10-07",58
"2017-10-08",78
"2017-10-09",100
"2017-10-10",63
"2017-10-11",65
"2017-10-12",44
"2017-10-13",29
"2017-10-14",34
"2017-10-15",56
"2017-10-16",49
"2017-10-17",43
"2017-10-18",39
"2017-10-19",28
"2017-10-20",23
"2017-10-21",30
"2017-10-22",48
"2017-10-23",40
"2017-10-24",34
"2017-10-25",30
"2017-10-26",23
"2017-10-27",19
"2017-10-28",24
"2017-10-29",33
"2017-10-30",27
"2017-10-31",27
"2017-11-01",22
"2017-11-02",15
"2017-11-03",15
"2017-11-04",15
"2017-11-05",22
"2017-11-06",23
"2017-11-07",23
"2017-11-08",20
"2017-11-09",19
"2017-11-10",12
"2017-11-11",11
"2017-11-12",14
"2017-11-13",16
"2017-11-14",14
"2017-11-15",12
"2017-11-16",10
"2017-11-17",8
"2017-11-18",10
"2017-11-19",11
"2017-11-20",9
"2017-11-21",14
"2017-11-22",13
"2017-11-23",8
"2017-11-24",5
"2017-11-25",11
"2017-11-26",13
"2017-11-27",9
"2017-11-28",10
"2017-11-29",7
"2017-11-30",7
"2017-12-01",5
"2017-12-02",6
"2017-12-03",10
"2017-12-04",13
"2017-12-05",10
"2017-12-06",7
"2017-12-07",8
"2017-12-08",8
"2017-12-09",6
"2017-12-10",10
"2017-12-11",11
"2017-12-12",8
"2017-12-13",4
"2017-12-14",5
"2017-12-15",5
"2017-12-16",7
"2017-12-17",9
"2017-12-18",7
"2017-12-19",7
"2017-12-20",5
"2017-12-21",3
"2017-12-22",3
"2017-12-23",5
"2017-12-24",6
"2017-12-25",8
"2017-12-26",9
"2017-12-27",8
"2017-12-28",6
"2017-12-29",5
"2017-12-30",7
"2017-12-31",7
"2018-01-01",7
"2018-01-02",11
"2018-01-03",8
"2018-01-04",7
"2018-01-05",6
"2018-01-06",8
"2018-01-07",10
"2018-01-08",10
"2018-01-09",10
"2018-01-10",8
"2018-01-11",8
"2018-01-12",7
"2018-01-13",12
"2018-01-14",10
"2018-01-15",12
"2018-01-16",12
"2018-01-17",13
"2018-01-18",12
"2018-01-19",8
"2018-01-20",10
"2018-01-21",13
"2018-01-22",14
"2018-01-23",11
"2018-01-24",11
"2018-01-25",11
"2018-01-26",6
"2018-01-27",8
"2018-01-28",10
"2018-01-29",11
"2018-01-30",8
"2018-01-31",9
"2018-02-01",7
"2018-02-02",6
"2018-02-03",8
"2018-02-04",14
"2018-02-05",10
"2018-02-06",9
"2018-02-07",8
"2018-02-08",10
"2018-02-09",10
"2018-02-10",8
"2018-02-11",9
"2018-02-12",8
"2018-02-13",7
"2018-02-14",7
"2018-02-15",6
"2018-02-16",7
"2018-02-17",9
"2018-02-18",15
"2018-02-19",14
"2018-02-20",11
"2018-02-21",9
"2018-02-22",10
"2018-02-23",10
"2018-02-24",9
"2018-02-25",15
"2018-02-26",17
"2018-02-27",16
"2018-02-28",11
"2018-03-01",15
"2018-03-02",14
"2018-03-03",18
"2018-03-04",24
"2018-03-05",25
"2018-03-06",20
"2018-03-07",18
"2018-03-08",19
"2018-03-09",16
"2018-03-10",17
"2018-03-11",34
"2018-03-12",28
"2018-03-13",28
"2018-03-14",25
"2018-03-15",23
"2018-03-16",18
"2018-03-17",24
"2018-03-18",35
"2018-03-19",30
"2018-03-20",28
"2018-03-21",27
"2018-03-22",26
"2018-03-23",17
"2018-03-24",21
"2018-03-25",34
"2018-03-26",35
"2018-03-27",29
"2018-03-28",26
"2018-03-29",23
"2018-03-30",19
"2018-03-31",30
"2018-04-01",44
"2018-04-02",45
"2018-04-03",32
"2018-04-04",30
"2018-04-05",29
"2018-04-06",23
"2018-04-07",23
"2018-04-08",32
"2018-04-09",32
"2018-04-10",32
"2018-04-11",29
"2018-04-12",31
"2018-04-13",24
"2018-04-14",28
"2018-04-15",42
"2018-04-16",38
"2018-04-17",31
"2018-04-18",30
"2018-04-19",33
