네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","캠핑용품"
"2017-08-01",48
"2017-08-02",41
"2017-08-03",46
"2017-08-04",41
"2017-08-05",44
"2017-08-06",65
"2017-08-07",53
"2017-08-08",48
"2017-08-09",46
"2017-08-10",42
"2017-08-11",33
"2017-08-12",39
"2017-08-13",76
"2017-08-14",55
"2017-08-15",74
"2017-08-16",48
"2017-08-17",46
"2017-08-18",33
"2017-08-19",36
"2017-08-20",70
"2017-08-21",61
"2017-08-22",35
"2017-08-23",36
"2017-08-24",42
"2017-08-25",37
"2017-08-26",36
"2017-08-27",65
"2017-08-28",59
"2017-08-29",48
"2017-08-30",37
"2017-08-31",32
"2017-09-01",23
"2017-09-02",27
"2017-09-03",57
"2017-09-04",51
"2017-09-05",35
"2017-09-06",37
"2017-09-07",35
"2017-09-08",29
"2017-09-09",32
"2017-09-10",54
"2017-09-11",47
"2017-09-12",36
"2017-09-13",32
"2017-09-14",30
"2017-09-15",25
"2017-09-16",26
"2017-09-17",54
"2017-09-18",47
"2017-09-19",40
"2017-09-20",36
"2017-09-21",29
"2017-09-22",28
"2017-09-23",33
"2017-09-24",64
"2017-09-25",50
"2017-09-26",48
"2017-09-27",38
"2017-09-28",31
"2017-09-29",24
"2017-09-30",27
"2017-10-01",42
"2017-10-02",42
"2017-10-03",38
"2017-10-04",34
"2017-10-05",41
"2017-10-06",74
"2017-10-07",61
"2017-10-08",88
"2017-10-09",100
"2017-10-10",61
"2017-10-11",50
"2017-10-12",44
"2017-10-13",29
"2017-10-14",38
"2017-10-15",56
"2017-10-16",53
"2017-10-17",41
"2017-10-18",38
"2017-10-19",29
"2017-10-20",18
"2017-10-21",26
"2017-10-22",55
"2017-10-23",37
"2017-10-24",37
"2017-10-25",31
"2017-10-26",27
"2017-10-27",20
"2017-10-28",23
"2017-10-29",44
"2017-10-30",29
"2017-10-31",22
"2017-11-01",19
"2017-11-02",21
"2017-11-03",16
"2017-11-04",14
"2017-11-05",32
"2017-11-06",26
"2017-11-07",23
"2017-11-08",22
"2017-11-09",20
"2017-11-10",13
"2017-11-11",15
"2017-11-12",26
"2017-11-13",23
"2017-11-14",20
"2017-11-15",16
"2017-11-16",15
"2017-11-17",18
"2017-11-18",13
"2017-11-19",21
"2017-11-20",16
"2017-11-21",15
"2017-11-22",15
"2017-11-23",11
"2017-11-24",10
"2017-11-25",16
"2017-11-26",23
"2017-11-27",19
"2017-11-28",12
"2017-11-29",11
"2017-11-30",8
"2017-12-01",10
"2017-12-02",10
"2017-12-03",25
"2017-12-04",14
"2017-12-05",13
"2017-12-06",10
"2017-12-07",13
"2017-12-08",10
"2017-12-09",12
"2017-12-10",17
"2017-12-11",11
"2017-12-12",12
"2017-12-13",9
"2017-12-14",12
"2017-12-15",11
"2017-12-16",8
"2017-12-17",14
"2017-12-18",10
"2017-12-19",9
"2017-12-20",9
"2017-12-21",10
"2017-12-22",6
"2017-12-23",8
"2017-12-24",11
"2017-12-25",22
"2017-12-26",11
"2017-12-27",12
"2017-12-28",9
"2017-12-29",9
"2017-12-30",8
"2017-12-31",9
"2018-01-01",13
"2018-01-02",14
"2018-01-03",10
"2018-01-04",8
"2018-01-05",8
"2018-01-06",10
"2018-01-07",17
"2018-01-08",6
"2018-01-09",10
"2018-01-10",8
"2018-01-11",8
"2018-01-12",8
"2018-01-13",9
"2018-01-14",15
"2018-01-15",9
"2018-01-16",9
"2018-01-17",8
"2018-01-18",12
"2018-01-19",9
"2018-01-20",14
"2018-01-21",11
"2018-01-22",11
"2018-01-23",13
"2018-01-24",12
"2018-01-25",8
"2018-01-26",6
"2018-01-27",12
"2018-01-28",17
"2018-01-29",14
"2018-01-30",13
"2018-01-31",10
"2018-02-01",8
"2018-02-02",8
"2018-02-03",12
"2018-02-04",17
"2018-02-05",11
"2018-02-06",10
"2018-02-07",11
"2018-02-08",11
"2018-02-09",7
"2018-02-10",11
"2018-02-11",16
"2018-02-12",10
"2018-02-13",10
"2018-02-14",8
"2018-02-15",12
"2018-02-16",12
"2018-02-17",16
"2018-02-18",22
"2018-02-19",16
"2018-02-20",14
"2018-02-21",11
"2018-02-22",13
"2018-02-23",8
"2018-02-24",10
"2018-02-25",17
"2018-02-26",19
"2018-02-27",13
"2018-02-28",12
"2018-03-01",18
"2018-03-02",12
"2018-03-03",15
"2018-03-04",24
"2018-03-05",18
"2018-03-06",19
"2018-03-07",20
"2018-03-08",17
"2018-03-09",14
"2018-03-10",15
"2018-03-11",34
"2018-03-12",18
"2018-03-13",19
"2018-03-14",14
"2018-03-15",20
"2018-03-16",13
"2018-03-17",20
"2018-03-18",33
"2018-03-19",25
"2018-03-20",27
"2018-03-21",27
"2018-03-22",24
"2018-03-23",16
"2018-03-24",21
"2018-03-25",34
"2018-03-26",31
"2018-03-27",30
"2018-03-28",25
"2018-03-29",24
"2018-03-30",19
"2018-03-31",29
"2018-04-01",51
"2018-04-02",45
"2018-04-03",38
"2018-04-04",42
"2018-04-05",39
"2018-04-06",37
"2018-04-07",41
"2018-04-08",56
"2018-04-09",49
"2018-04-10",46
"2018-04-11",40
"2018-04-12",39
"2018-04-13",35
"2018-04-14",47
"2018-04-15",51
"2018-04-16",50
"2018-04-17",47
"2018-04-18",38
"2018-04-19",35
