네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","남자트레킹화"
"2017-08-01",26
"2017-08-02",25
"2017-08-03",17
"2017-08-04",24
"2017-08-05",19
"2017-08-06",25
"2017-08-07",22
"2017-08-08",28
"2017-08-09",25
"2017-08-10",27
"2017-08-11",23
"2017-08-12",15
"2017-08-13",20
"2017-08-14",24
"2017-08-15",34
"2017-08-16",33
"2017-08-17",20
"2017-08-18",17
"2017-08-19",18
"2017-08-20",28
"2017-08-21",33
"2017-08-22",29
"2017-08-23",31
"2017-08-24",33
"2017-08-25",25
"2017-08-26",30
"2017-08-27",40
"2017-08-28",27
"2017-08-29",31
"2017-08-30",33
"2017-08-31",34
"2017-09-01",30
"2017-09-02",26
"2017-09-03",40
"2017-09-04",41
"2017-09-05",27
"2017-09-06",38
"2017-09-07",31
"2017-09-08",27
"2017-09-09",35
"2017-09-10",39
"2017-09-11",38
"2017-09-12",36
"2017-09-13",31
"2017-09-14",35
"2017-09-15",30
"2017-09-16",30
"2017-09-17",38
"2017-09-18",40
"2017-09-19",48
"2017-09-20",31
"2017-09-21",38
"2017-09-22",30
"2017-09-23",35
"2017-09-24",45
"2017-09-25",44
"2017-09-26",36
"2017-09-27",38
"2017-09-28",26
"2017-09-29",27
"2017-09-30",26
"2017-10-01",35
"2017-10-02",36
"2017-10-03",39
"2017-10-04",32
"2017-10-05",29
"2017-10-06",39
"2017-10-07",34
"2017-10-08",44
"2017-10-09",72
"2017-10-10",54
"2017-10-11",57
"2017-10-12",43
"2017-10-13",36
"2017-10-14",44
"2017-10-15",49
"2017-10-16",53
"2017-10-17",51
"2017-10-18",55
"2017-10-19",53
"2017-10-20",44
"2017-10-21",43
"2017-10-22",65
"2017-10-23",57
"2017-10-24",53
"2017-10-25",52
"2017-10-26",52
"2017-10-27",46
"2017-10-28",41
"2017-10-29",44
"2017-10-30",54
"2017-10-31",50
"2017-11-01",47
"2017-11-02",45
"2017-11-03",47
"2017-11-04",38
"2017-11-05",59
"2017-11-06",49
"2017-11-07",55
"2017-11-08",54
"2017-11-09",47
"2017-11-10",44
"2017-11-11",40
"2017-11-12",55
"2017-11-13",60
"2017-11-14",43
"2017-11-15",44
"2017-11-16",41
"2017-11-17",40
"2017-11-18",48
"2017-11-19",58
"2017-11-20",57
"2017-11-21",54
"2017-11-22",49
"2017-11-23",48
"2017-11-24",46
"2017-11-25",48
"2017-11-26",58
"2017-11-27",63
"2017-11-28",53
"2017-11-29",44
"2017-11-30",47
"2017-12-01",35
"2017-12-02",47
"2017-12-03",62
"2017-12-04",48
"2017-12-05",56
"2017-12-06",51
"2017-12-07",42
"2017-12-08",50
"2017-12-09",41
"2017-12-10",85
"2017-12-11",53
"2017-12-12",59
"2017-12-13",52
"2017-12-14",44
"2017-12-15",38
"2017-12-16",47
"2017-12-17",62
"2017-12-18",45
"2017-12-19",56
"2017-12-20",44
"2017-12-21",37
"2017-12-22",40
"2017-12-23",31
"2017-12-24",47
"2017-12-25",54
"2017-12-26",39
"2017-12-27",40
"2017-12-28",35
"2017-12-29",22
"2017-12-30",27
"2017-12-31",36
"2018-01-01",40
"2018-01-02",40
"2018-01-03",34
"2018-01-04",39
"2018-01-05",34
"2018-01-06",40
"2018-01-07",65
"2018-01-08",51
"2018-01-09",59
"2018-01-10",54
"2018-01-11",48
"2018-01-12",45
"2018-01-13",58
"2018-01-14",59
"2018-01-15",52
"2018-01-16",47
"2018-01-17",55
"2018-01-18",45
"2018-01-19",37
"2018-01-20",47
"2018-01-21",54
"2018-01-22",49
"2018-01-23",50
"2018-01-24",39
"2018-01-25",42
"2018-01-26",41
"2018-01-27",48
"2018-01-28",61
"2018-01-29",57
"2018-01-30",50
"2018-01-31",48
"2018-02-01",40
"2018-02-02",40
"2018-02-03",53
"2018-02-04",73
"2018-02-05",45
"2018-02-06",52
"2018-02-07",47
"2018-02-08",43
"2018-02-09",43
"2018-02-10",43
"2018-02-11",52
"2018-02-12",34
"2018-02-13",32
"2018-02-14",33
"2018-02-15",40
"2018-02-16",47
"2018-02-17",59
"2018-02-18",71
"2018-02-19",69
"2018-02-20",59
"2018-02-21",59
"2018-02-22",68
"2018-02-23",50
"2018-02-24",57
"2018-02-25",73
"2018-02-26",81
"2018-02-27",80
"2018-02-28",74
"2018-03-01",100
"2018-03-02",69
"2018-03-03",62
"2018-03-04",94
"2018-03-05",86
"2018-03-06",66
"2018-03-07",79
"2018-03-08",74
"2018-03-09",53
"2018-03-10",68
"2018-03-11",97
"2018-03-12",89
"2018-03-13",82
"2018-03-14",64
"2018-03-15",82
"2018-03-16",70
"2018-03-17",76
"2018-03-18",92
"2018-03-19",85
"2018-03-20",78
"2018-03-21",74
"2018-03-22",65
"2018-03-23",61
"2018-03-24",69
"2018-03-25",96
"2018-03-26",82
"2018-03-27",70
"2018-03-28",86
"2018-03-29",60
"2018-03-30",53
"2018-03-31",57
"2018-04-01",78
"2018-04-02",64
"2018-04-03",77
"2018-04-04",77
"2018-04-05",78
"2018-04-06",52
"2018-04-07",42
"2018-04-08",68
"2018-04-09",76
"2018-04-10",58
"2018-04-11",79
"2018-04-12",66
"2018-04-13",50
"2018-04-14",58
"2018-04-15",83
"2018-04-16",74
"2018-04-17",67
"2018-04-18",73
"2018-04-19",65
