네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","바람막이"
"2017-08-01",7
"2017-08-02",5
"2017-08-03",4
"2017-08-04",3
"2017-08-05",3
"2017-08-06",4
"2017-08-07",4
"2017-08-08",5
"2017-08-09",4
"2017-08-10",7
"2017-08-11",6
"2017-08-12",6
"2017-08-13",9
"2017-08-14",10
"2017-08-15",17
"2017-08-16",15
"2017-08-17",15
"2017-08-18",14
"2017-08-19",11
"2017-08-20",24
"2017-08-21",13
"2017-08-22",15
"2017-08-23",14
"2017-08-24",13
"2017-08-25",13
"2017-08-26",18
"2017-08-27",27
"2017-08-28",29
"2017-08-29",54
"2017-08-30",78
"2017-08-31",61
"2017-09-01",50
"2017-09-02",38
"2017-09-03",56
"2017-09-04",48
"2017-09-05",51
"2017-09-06",46
"2017-09-07",48
"2017-09-08",35
"2017-09-09",25
"2017-09-10",39
"2017-09-11",51
"2017-09-12",46
"2017-09-13",37
"2017-09-14",34
"2017-09-15",34
"2017-09-16",38
"2017-09-17",47
"2017-09-18",43
"2017-09-19",36
"2017-09-20",38
"2017-09-21",42
"2017-09-22",31
"2017-09-23",30
"2017-09-24",29
"2017-09-25",33
"2017-09-26",30
"2017-09-27",31
"2017-09-28",25
"2017-09-29",24
"2017-09-30",23
"2017-10-01",29
"2017-10-02",25
"2017-10-03",23
"2017-10-04",24
"2017-10-05",28
"2017-10-06",40
"2017-10-07",34
"2017-10-08",34
"2017-10-09",34
"2017-10-10",29
"2017-10-11",42
"2017-10-12",50
"2017-10-13",38
"2017-10-14",34
"2017-10-15",43
"2017-10-16",49
"2017-10-17",42
"2017-10-18",38
"2017-10-19",26
"2017-10-20",20
"2017-10-21",20
"2017-10-22",31
"2017-10-23",35
"2017-10-24",33
"2017-10-25",27
"2017-10-26",28
"2017-10-27",23
"2017-10-28",19
"2017-10-29",24
"2017-10-30",26
"2017-10-31",19
"2017-11-01",19
"2017-11-02",17
"2017-11-03",15
"2017-11-04",13
"2017-11-05",18
"2017-11-06",15
"2017-11-07",13
"2017-11-08",13
"2017-11-09",12
"2017-11-10",9
"2017-11-11",11
"2017-11-12",11
"2017-11-13",10
"2017-11-14",9
"2017-11-15",8
"2017-11-16",12
"2017-11-17",7
"2017-11-18",6
"2017-11-19",7
"2017-11-20",8
"2017-11-21",7
"2017-11-22",4
"2017-11-23",6
"2017-11-24",6
"2017-11-25",4
"2017-11-26",5
"2017-11-27",5
"2017-11-28",5
"2017-11-29",4
"2017-11-30",4
"2017-12-01",6
"2017-12-02",5
"2017-12-03",7
"2017-12-04",5
"2017-12-05",5
"2017-12-06",5
"2017-12-07",4
"2017-12-08",4
"2017-12-09",4
"2017-12-10",6
"2017-12-11",6
"2017-12-12",2
"2017-12-13",4
"2017-12-14",3
"2017-12-15",2
"2017-12-16",3
"2017-12-17",6
"2017-12-18",3
"2017-12-19",3
"2017-12-20",4
"2017-12-21",3
"2017-12-22",3
"2017-12-23",2
"2017-12-24",5
"2017-12-25",2
"2017-12-26",4
"2017-12-27",3
"2017-12-28",4
"2017-12-29",2
"2017-12-30",2
"2017-12-31",3
"2018-01-01",5
"2018-01-02",6
"2018-01-03",5
"2018-01-04",4
"2018-01-05",4
"2018-01-06",5
"2018-01-07",5
"2018-01-08",5
"2018-01-09",6
"2018-01-10",5
"2018-01-11",4
"2018-01-12",5
"2018-01-13",7
"2018-01-14",8
"2018-01-15",8
"2018-01-16",8
"2018-01-17",7
"2018-01-18",8
"2018-01-19",5
"2018-01-20",7
"2018-01-21",8
"2018-01-22",7
"2018-01-23",9
"2018-01-24",7
"2018-01-25",6
"2018-01-26",7
"2018-01-27",5
"2018-01-28",10
"2018-01-29",8
"2018-01-30",8
"2018-01-31",7
"2018-02-01",8
"2018-02-02",6
"2018-02-03",7
"2018-02-04",9
"2018-02-05",9
"2018-02-06",7
"2018-02-07",7
"2018-02-08",7
"2018-02-09",9
"2018-02-10",9
"2018-02-11",15
"2018-02-12",10
"2018-02-13",10
"2018-02-14",10
"2018-02-15",12
"2018-02-16",17
"2018-02-17",21
"2018-02-18",28
"2018-02-19",26
"2018-02-20",20
"2018-02-21",26
"2018-02-22",30
"2018-02-23",26
"2018-02-24",23
"2018-02-25",33
"2018-02-26",32
"2018-02-27",35
"2018-02-28",35
"2018-03-01",41
"2018-03-02",35
"2018-03-03",40
"2018-03-04",65
"2018-03-05",59
"2018-03-06",56
"2018-03-07",62
"2018-03-08",59
"2018-03-09",49
"2018-03-10",52
"2018-03-11",72
"2018-03-12",56
"2018-03-13",59
"2018-03-14",80
"2018-03-15",86
"2018-03-16",64
"2018-03-17",73
"2018-03-18",100
"2018-03-19",81
"2018-03-20",74
"2018-03-21",53
"2018-03-22",58
"2018-03-23",52
"2018-03-24",59
"2018-03-25",89
"2018-03-26",89
"2018-03-27",85
"2018-03-28",76
"2018-03-29",74
"2018-03-30",57
"2018-03-31",75
"2018-04-01",86
"2018-04-02",88
"2018-04-03",75
"2018-04-04",70
"2018-04-05",67
"2018-04-06",53
"2018-04-07",57
"2018-04-08",72
"2018-04-09",65
"2018-04-10",61
"2018-04-11",63
"2018-04-12",55
"2018-04-13",55
"2018-04-14",65
"2018-04-15",65
"2018-04-16",70
"2018-04-17",64
"2018-04-18",60
"2018-04-19",44
