네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","나이키골프화"
"2017-08-01",39
"2017-08-02",32
"2017-08-03",38
"2017-08-04",38
"2017-08-05",43
"2017-08-06",44
"2017-08-07",48
"2017-08-08",42
"2017-08-09",35
"2017-08-10",34
"2017-08-11",45
"2017-08-12",39
"2017-08-13",45
"2017-08-14",41
"2017-08-15",52
"2017-08-16",40
"2017-08-17",41
"2017-08-18",36
"2017-08-19",41
"2017-08-20",55
"2017-08-21",44
"2017-08-22",45
"2017-08-23",43
"2017-08-24",46
"2017-08-25",45
"2017-08-26",47
"2017-08-27",53
"2017-08-28",43
"2017-08-29",47
"2017-08-30",42
"2017-08-31",44
"2017-09-01",39
"2017-09-02",46
"2017-09-03",49
"2017-09-04",55
"2017-09-05",53
"2017-09-06",50
"2017-09-07",46
"2017-09-08",42
"2017-09-09",53
"2017-09-10",56
"2017-09-11",50
"2017-09-12",48
"2017-09-13",42
"2017-09-14",41
"2017-09-15",40
"2017-09-16",53
"2017-09-17",65
"2017-09-18",48
"2017-09-19",45
"2017-09-20",42
"2017-09-21",42
"2017-09-22",41
"2017-09-23",52
"2017-09-24",54
"2017-09-25",53
"2017-09-26",42
"2017-09-27",51
"2017-09-28",44
"2017-09-29",40
"2017-09-30",50
"2017-10-01",53
"2017-10-02",43
"2017-10-03",47
"2017-10-04",38
"2017-10-05",39
"2017-10-06",47
"2017-10-07",55
"2017-10-08",61
"2017-10-09",67
"2017-10-10",60
"2017-10-11",53
"2017-10-12",66
"2017-10-13",60
"2017-10-14",63
"2017-10-15",100
"2017-10-16",66
"2017-10-17",60
"2017-10-18",54
"2017-10-19",52
"2017-10-20",46
"2017-10-21",57
"2017-10-22",61
"2017-10-23",60
"2017-10-24",62
"2017-10-25",62
"2017-10-26",45
"2017-10-27",47
"2017-10-28",64
"2017-10-29",65
"2017-10-30",54
"2017-10-31",45
"2017-11-01",35
"2017-11-02",37
"2017-11-03",29
"2017-11-04",39
"2017-11-05",46
"2017-11-06",40
"2017-11-07",40
"2017-11-08",38
"2017-11-09",42
"2017-11-10",34
"2017-11-11",33
"2017-11-12",42
"2017-11-13",38
"2017-11-14",34
"2017-11-15",27
"2017-11-16",29
"2017-11-17",24
"2017-11-18",29
"2017-11-19",38
"2017-11-20",34
"2017-11-21",27
"2017-11-22",33
"2017-11-23",30
"2017-11-24",25
"2017-11-25",24
"2017-11-26",37
"2017-11-27",35
"2017-11-28",30
"2017-11-29",25
"2017-11-30",28
"2017-12-01",20
"2017-12-02",25
"2017-12-03",34
"2017-12-04",25
"2017-12-05",21
"2017-12-06",27
"2017-12-07",21
"2017-12-08",21
"2017-12-09",20
"2017-12-10",29
"2017-12-11",29
"2017-12-12",23
"2017-12-13",22
"2017-12-14",21
"2017-12-15",15
"2017-12-16",18
"2017-12-17",22
"2017-12-18",20
"2017-12-19",18
"2017-12-20",17
"2017-12-21",15
"2017-12-22",15
"2017-12-23",14
"2017-12-24",19
"2017-12-25",18
"2017-12-26",20
"2017-12-27",16
"2017-12-28",17
"2017-12-29",18
"2017-12-30",18
"2017-12-31",18
"2018-01-01",22
"2018-01-02",21
"2018-01-03",26
"2018-01-04",22
"2018-01-05",21
"2018-01-06",20
"2018-01-07",25
"2018-01-08",28
"2018-01-09",24
"2018-01-10",23
"2018-01-11",20
"2018-01-12",16
"2018-01-13",22
"2018-01-14",26
"2018-01-15",22
"2018-01-16",19
"2018-01-17",21
"2018-01-18",21
"2018-01-19",22
"2018-01-20",24
"2018-01-21",28
"2018-01-22",26
"2018-01-23",25
"2018-01-24",20
"2018-01-25",28
"2018-01-26",21
"2018-01-27",25
"2018-01-28",32
"2018-01-29",31
"2018-01-30",33
"2018-01-31",30
"2018-02-01",27
"2018-02-02",22
"2018-02-03",24
"2018-02-04",33
"2018-02-05",28
"2018-02-06",26
"2018-02-07",22
"2018-02-08",22
"2018-02-09",21
"2018-02-10",26
"2018-02-11",27
"2018-02-12",21
"2018-02-13",24
"2018-02-14",21
"2018-02-15",21
"2018-02-16",21
"2018-02-17",26
"2018-02-18",34
"2018-02-19",34
"2018-02-20",37
"2018-02-21",30
"2018-02-22",28
"2018-02-23",36
"2018-02-24",31
"2018-02-25",41
"2018-02-26",37
"2018-02-27",35
"2018-02-28",28
"2018-03-01",40
"2018-03-02",36
"2018-03-03",42
"2018-03-04",56
"2018-03-05",44
"2018-03-06",33
"2018-03-07",39
"2018-03-08",34
"2018-03-09",36
"2018-03-10",43
"2018-03-11",46
"2018-03-12",43
"2018-03-13",35
"2018-03-14",32
"2018-03-15",29
"2018-03-16",37
"2018-03-17",35
"2018-03-18",52
"2018-03-19",42
"2018-03-20",40
"2018-03-21",36
"2018-03-22",33
"2018-03-23",31
"2018-03-24",33
"2018-03-25",39
"2018-03-26",42
"2018-03-27",33
"2018-03-28",37
"2018-03-29",30
"2018-03-30",32
"2018-03-31",42
"2018-04-01",48
"2018-04-02",44
"2018-04-03",37
"2018-04-04",36
"2018-04-05",36
"2018-04-06",30
"2018-04-07",35
"2018-04-08",39
"2018-04-09",33
"2018-04-10",34
"2018-04-11",25
"2018-04-12",26
"2018-04-13",27
"2018-04-14",35
"2018-04-15",39
"2018-04-16",40
"2018-04-17",29
"2018-04-18",29
"2018-04-19",30
