네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","노스페이스바람막이"
"2017-08-01",4
"2017-08-02",2
"2017-08-03",3
"2017-08-04",2
"2017-08-05",2
"2017-08-06",2
"2017-08-07",2
"2017-08-08",2
"2017-08-09",4
"2017-08-10",4
"2017-08-11",5
"2017-08-12",2
"2017-08-13",7
"2017-08-14",5
"2017-08-15",11
"2017-08-16",8
"2017-08-17",8
"2017-08-18",8
"2017-08-19",7
"2017-08-20",10
"2017-08-21",10
"2017-08-22",9
"2017-08-23",9
"2017-08-24",9
"2017-08-25",8
"2017-08-26",15
"2017-08-27",15
"2017-08-28",19
"2017-08-29",32
"2017-08-30",40
"2017-08-31",30
"2017-09-01",24
"2017-09-02",24
"2017-09-03",28
"2017-09-04",25
"2017-09-05",27
"2017-09-06",23
"2017-09-07",20
"2017-09-08",19
"2017-09-09",18
"2017-09-10",22
"2017-09-11",29
"2017-09-12",27
"2017-09-13",25
"2017-09-14",24
"2017-09-15",24
"2017-09-16",27
"2017-09-17",34
"2017-09-18",29
"2017-09-19",25
"2017-09-20",25
"2017-09-21",30
"2017-09-22",26
"2017-09-23",27
"2017-09-24",34
"2017-09-25",33
"2017-09-26",27
"2017-09-27",27
"2017-09-28",27
"2017-09-29",28
"2017-09-30",27
"2017-10-01",33
"2017-10-02",28
"2017-10-03",30
"2017-10-04",27
"2017-10-05",38
"2017-10-06",50
"2017-10-07",42
"2017-10-08",41
"2017-10-09",45
"2017-10-10",35
"2017-10-11",48
"2017-10-12",57
"2017-10-13",41
"2017-10-14",46
"2017-10-15",58
"2017-10-16",57
"2017-10-17",51
"2017-10-18",53
"2017-10-19",36
"2017-10-20",25
"2017-10-21",24
"2017-10-22",35
"2017-10-23",38
"2017-10-24",32
"2017-10-25",28
"2017-10-26",27
"2017-10-27",26
"2017-10-28",20
"2017-10-29",29
"2017-10-30",29
"2017-10-31",24
"2017-11-01",27
"2017-11-02",21
"2017-11-03",15
"2017-11-04",18
"2017-11-05",21
"2017-11-06",18
"2017-11-07",17
"2017-11-08",15
"2017-11-09",15
"2017-11-10",11
"2017-11-11",12
"2017-11-12",12
"2017-11-13",12
"2017-11-14",12
"2017-11-15",7
"2017-11-16",9
"2017-11-17",8
"2017-11-18",8
"2017-11-19",10
"2017-11-20",8
"2017-11-21",6
"2017-11-22",8
"2017-11-23",4
"2017-11-24",5
"2017-11-25",5
"2017-11-26",7
"2017-11-27",5
"2017-11-28",6
"2017-11-29",4
"2017-11-30",5
"2017-12-01",4
"2017-12-02",4
"2017-12-03",5
"2017-12-04",5
"2017-12-05",5
"2017-12-06",4
"2017-12-07",3
"2017-12-08",4
"2017-12-09",3
"2017-12-10",5
"2017-12-11",4
"2017-12-12",4
"2017-12-13",4
"2017-12-14",3
"2017-12-15",4
"2017-12-16",5
"2017-12-17",5
"2017-12-18",4
"2017-12-19",4
"2017-12-20",3
"2017-12-21",4
"2017-12-22",2
"2017-12-23",4
"2017-12-24",3
"2017-12-25",4
"2017-12-26",3
"2017-12-27",3
"2017-12-28",3
"2017-12-29",2
"2017-12-30",3
"2017-12-31",5
"2018-01-01",5
"2018-01-02",4
"2018-01-03",6
"2018-01-04",5
"2018-01-05",5
"2018-01-06",5
"2018-01-07",8
"2018-01-08",7
"2018-01-09",4
"2018-01-10",4
"2018-01-11",7
"2018-01-12",5
"2018-01-13",6
"2018-01-14",7
"2018-01-15",6
"2018-01-16",7
"2018-01-17",6
"2018-01-18",7
"2018-01-19",6
"2018-01-20",7
"2018-01-21",9
"2018-01-22",8
"2018-01-23",8
"2018-01-24",7
"2018-01-25",6
"2018-01-26",5
"2018-01-27",6
"2018-01-28",7
"2018-01-29",8
"2018-01-30",6
"2018-01-31",8
"2018-02-01",10
"2018-02-02",7
"2018-02-03",10
"2018-02-04",11
"2018-02-05",11
"2018-02-06",9
"2018-02-07",10
"2018-02-08",9
"2018-02-09",9
"2018-02-10",13
"2018-02-11",17
"2018-02-12",15
"2018-02-13",16
"2018-02-14",11
"2018-02-15",14
"2018-02-16",21
"2018-02-17",24
"2018-02-18",31
"2018-02-19",26
"2018-02-20",24
"2018-02-21",28
"2018-02-22",29
"2018-02-23",28
"2018-02-24",29
"2018-02-25",40
"2018-02-26",40
"2018-02-27",42
"2018-02-28",43
"2018-03-01",50
"2018-03-02",43
"2018-03-03",47
"2018-03-04",65
"2018-03-05",59
"2018-03-06",57
"2018-03-07",66
"2018-03-08",59
"2018-03-09",42
"2018-03-10",53
"2018-03-11",77
"2018-03-12",71
"2018-03-13",79
"2018-03-14",78
"2018-03-15",75
"2018-03-16",58
"2018-03-17",67
"2018-03-18",100
"2018-03-19",78
"2018-03-20",76
"2018-03-21",61
"2018-03-22",52
"2018-03-23",55
"2018-03-24",58
"2018-03-25",82
"2018-03-26",71
"2018-03-27",67
"2018-03-28",71
"2018-03-29",59
"2018-03-30",52
"2018-03-31",67
"2018-04-01",82
"2018-04-02",67
"2018-04-03",59
"2018-04-04",73
"2018-04-05",58
"2018-04-06",53
"2018-04-07",65
"2018-04-08",75
"2018-04-09",69
"2018-04-10",73
"2018-04-11",59
"2018-04-12",67
"2018-04-13",58
"2018-04-14",63
"2018-04-15",85
"2018-04-16",67
"2018-04-17",61
"2018-04-18",59
"2018-04-19",55
