네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","루이까스텔"
"2017-08-01",14
"2017-08-02",16
"2017-08-03",14
"2017-08-04",13
"2017-08-05",13
"2017-08-06",14
"2017-08-07",12
"2017-08-08",14
"2017-08-09",14
"2017-08-10",13
"2017-08-11",10
"2017-08-12",10
"2017-08-13",14
"2017-08-14",12
"2017-08-15",20
"2017-08-16",12
"2017-08-17",14
"2017-08-18",11
"2017-08-19",18
"2017-08-20",14
"2017-08-21",10
"2017-08-22",14
"2017-08-23",12
"2017-08-24",8
"2017-08-25",6
"2017-08-26",10
"2017-08-27",11
"2017-08-28",10
"2017-08-29",12
"2017-08-30",9
"2017-08-31",8
"2017-09-01",11
"2017-09-02",12
"2017-09-03",21
"2017-09-04",13
"2017-09-05",16
"2017-09-06",10
"2017-09-07",15
"2017-09-08",15
"2017-09-09",16
"2017-09-10",17
"2017-09-11",12
"2017-09-12",15
"2017-09-13",11
"2017-09-14",12
"2017-09-15",12
"2017-09-16",15
"2017-09-17",20
"2017-09-18",19
"2017-09-19",16
"2017-09-20",16
"2017-09-21",19
"2017-09-22",19
"2017-09-23",22
"2017-09-24",22
"2017-09-25",22
"2017-09-26",24
"2017-09-27",32
"2017-09-28",25
"2017-09-29",22
"2017-09-30",28
"2017-10-01",38
"2017-10-02",29
"2017-10-03",23
"2017-10-04",19
"2017-10-05",24
"2017-10-06",26
"2017-10-07",33
"2017-10-08",34
"2017-10-09",33
"2017-10-10",33
"2017-10-11",31
"2017-10-12",45
"2017-10-13",38
"2017-10-14",47
"2017-10-15",57
"2017-10-16",44
"2017-10-17",48
"2017-10-18",51
"2017-10-19",44
"2017-10-20",45
"2017-10-21",45
"2017-10-22",57
"2017-10-23",56
"2017-10-24",57
"2017-10-25",53
"2017-10-26",62
"2017-10-27",53
"2017-10-28",43
"2017-10-29",71
"2017-10-30",58
"2017-10-31",58
"2017-11-01",56
"2017-11-02",69
"2017-11-03",73
"2017-11-04",76
"2017-11-05",85
"2017-11-06",84
"2017-11-07",98
"2017-11-08",99
"2017-11-09",83
"2017-11-10",80
"2017-11-11",81
"2017-11-12",92
"2017-11-13",77
"2017-11-14",78
"2017-11-15",70
"2017-11-16",86
"2017-11-17",84
"2017-11-18",77
"2017-11-19",100
"2017-11-20",76
"2017-11-21",77
"2017-11-22",81
"2017-11-23",78
"2017-11-24",70
"2017-11-25",73
"2017-11-26",88
"2017-11-27",100
"2017-11-28",82
"2017-11-29",66
"2017-11-30",73
"2017-12-01",61
"2017-12-02",63
"2017-12-03",83
"2017-12-04",71
"2017-12-05",72
"2017-12-06",77
"2017-12-07",83
"2017-12-08",60
"2017-12-09",89
"2017-12-10",86
"2017-12-11",81
"2017-12-12",77
"2017-12-13",81
"2017-12-14",75
"2017-12-15",63
"2017-12-16",71
"2017-12-17",95
"2017-12-18",89
"2017-12-19",84
"2017-12-20",89
"2017-12-21",70
"2017-12-22",63
"2017-12-23",61
"2017-12-24",63
"2017-12-25",94
"2017-12-26",76
"2017-12-27",98
"2017-12-28",77
"2017-12-29",65
"2017-12-30",57
"2017-12-31",70
"2018-01-01",90
"2018-01-02",68
"2018-01-03",74
"2018-01-04",69
"2018-01-05",64
"2018-01-06",65
"2018-01-07",74
"2018-01-08",62
"2018-01-09",57
"2018-01-10",57
"2018-01-11",67
"2018-01-12",55
"2018-01-13",55
"2018-01-14",60
"2018-01-15",60
"2018-01-16",51
"2018-01-17",47
"2018-01-18",43
"2018-01-19",76
"2018-01-20",78
"2018-01-21",76
"2018-01-22",74
"2018-01-23",58
"2018-01-24",58
"2018-01-25",71
"2018-01-26",56
"2018-01-27",54
"2018-01-28",68
"2018-01-29",51
"2018-01-30",48
"2018-01-31",42
"2018-02-01",52
"2018-02-02",60
"2018-02-03",75
"2018-02-04",64
"2018-02-05",66
"2018-02-06",75
"2018-02-07",35
"2018-02-08",26
"2018-02-09",28
"2018-02-10",20
"2018-02-11",31
"2018-02-12",21
"2018-02-13",20
"2018-02-14",18
"2018-02-15",14
"2018-02-16",17
"2018-02-17",24
"2018-02-18",20
"2018-02-19",24
"2018-02-20",20
"2018-02-21",22
"2018-02-22",25
"2018-02-23",17
"2018-02-24",24
"2018-02-25",24
"2018-02-26",22
"2018-02-27",19
"2018-02-28",19
"2018-03-01",24
"2018-03-02",17
"2018-03-03",20
"2018-03-04",28
"2018-03-05",25
"2018-03-06",20
"2018-03-07",19
"2018-03-08",24
"2018-03-09",26
"2018-03-10",24
"2018-03-11",28
"2018-03-12",22
"2018-03-13",16
"2018-03-14",22
"2018-03-15",25
"2018-03-16",22
"2018-03-17",19
"2018-03-18",29
"2018-03-19",24
"2018-03-20",22
"2018-03-21",16
"2018-03-22",15
"2018-03-23",16
"2018-03-24",19
"2018-03-25",22
"2018-03-26",22
"2018-03-27",15
"2018-03-28",19
"2018-03-29",19
"2018-03-30",20
"2018-03-31",13
"2018-04-01",27
"2018-04-02",21
"2018-04-03",18
"2018-04-04",21
"2018-04-05",16
"2018-04-06",12
"2018-04-07",14
"2018-04-08",18
"2018-04-09",16
"2018-04-10",13
"2018-04-11",15
"2018-04-12",15
"2018-04-13",18
"2018-04-14",21
"2018-04-15",20
"2018-04-16",17
"2018-04-17",18
"2018-04-18",13
"2018-04-19",15
