네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","카라반"
"2017-08-01",19
"2017-08-02",15
"2017-08-03",20
"2017-08-04",18
"2017-08-05",20
"2017-08-06",19
"2017-08-07",13
"2017-08-08",16
"2017-08-09",13
"2017-08-10",27
"2017-08-11",17
"2017-08-12",18
"2017-08-13",26
"2017-08-14",24
"2017-08-15",26
"2017-08-16",15
"2017-08-17",13
"2017-08-18",13
"2017-08-19",17
"2017-08-20",25
"2017-08-21",19
"2017-08-22",13
"2017-08-23",17
"2017-08-24",21
"2017-08-25",20
"2017-08-26",16
"2017-08-27",20
"2017-08-28",21
"2017-08-29",14
"2017-08-30",12
"2017-08-31",11
"2017-09-01",10
"2017-09-02",10
"2017-09-03",13
"2017-09-04",10
"2017-09-05",9
"2017-09-06",8
"2017-09-07",13
"2017-09-08",8
"2017-09-09",11
"2017-09-10",13
"2017-09-11",11
"2017-09-12",8
"2017-09-13",8
"2017-09-14",7
"2017-09-15",7
"2017-09-16",10
"2017-09-17",13
"2017-09-18",8
"2017-09-19",7
"2017-09-20",8
"2017-09-21",14
"2017-09-22",7
"2017-09-23",10
"2017-09-24",12
"2017-09-25",10
"2017-09-26",8
"2017-09-27",7
"2017-09-28",12
"2017-09-29",7
"2017-09-30",10
"2017-10-01",14
"2017-10-02",14
"2017-10-03",11
"2017-10-04",13
"2017-10-05",18
"2017-10-06",23
"2017-10-07",23
"2017-10-08",24
"2017-10-09",26
"2017-10-10",15
"2017-10-11",12
"2017-10-12",21
"2017-10-13",10
"2017-10-14",12
"2017-10-15",16
"2017-10-16",14
"2017-10-17",15
"2017-10-18",14
"2017-10-19",15
"2017-10-20",12
"2017-10-21",17
"2017-10-22",23
"2017-10-23",22
"2017-10-24",16
"2017-10-25",11
"2017-10-26",14
"2017-10-27",19
"2017-10-28",19
"2017-10-29",26
"2017-10-30",17
"2017-10-31",10
"2017-11-01",12
"2017-11-02",10
"2017-11-03",11
"2017-11-04",13
"2017-11-05",15
"2017-11-06",14
"2017-11-07",11
"2017-11-08",11
"2017-11-09",9
"2017-11-10",9
"2017-11-11",17
"2017-11-12",20
"2017-11-13",11
"2017-11-14",10
"2017-11-15",9
"2017-11-16",6
"2017-11-17",7
"2017-11-18",8
"2017-11-19",11
"2017-11-20",9
"2017-11-21",6
"2017-11-22",6
"2017-11-23",6
"2017-11-24",4
"2017-11-25",7
"2017-11-26",9
"2017-11-27",7
"2017-11-28",7
"2017-11-29",7
"2017-11-30",6
"2017-12-01",6
"2017-12-02",6
"2017-12-03",11
"2017-12-04",8
"2017-12-05",5
"2017-12-06",5
"2017-12-07",11
"2017-12-08",6
"2017-12-09",6
"2017-12-10",10
"2017-12-11",7
"2017-12-12",5
"2017-12-13",5
"2017-12-14",4
"2017-12-15",4
"2017-12-16",5
"2017-12-17",7
"2017-12-18",5
"2017-12-19",5
"2017-12-20",3
"2017-12-21",7
"2017-12-22",3
"2017-12-23",5
"2017-12-24",8
"2017-12-25",8
"2017-12-26",7
"2017-12-27",6
"2017-12-28",5
"2017-12-29",5
"2017-12-30",8
"2017-12-31",8
"2018-01-01",14
"2018-01-02",8
"2018-01-03",8
"2018-01-04",7
"2018-01-05",8
"2018-01-06",12
"2018-01-07",12
"2018-01-08",7
"2018-01-09",6
"2018-01-10",7
"2018-01-11",5
"2018-01-12",6
"2018-01-13",7
"2018-01-14",9
"2018-01-15",7
"2018-01-16",6
"2018-01-17",8
"2018-01-18",10
"2018-01-19",7
"2018-01-20",7
"2018-01-21",11
"2018-01-22",8
"2018-01-23",7
"2018-01-24",7
"2018-01-25",7
"2018-01-26",8
"2018-01-27",10
"2018-01-28",17
"2018-01-29",16
"2018-01-30",11
"2018-01-31",10
"2018-02-01",7
"2018-02-02",7
"2018-02-03",12
"2018-02-04",18
"2018-02-05",14
"2018-02-06",10
"2018-02-07",9
"2018-02-08",8
"2018-02-09",8
"2018-02-10",8
"2018-02-11",13
"2018-02-12",10
"2018-02-13",10
"2018-02-14",8
"2018-02-15",12
"2018-02-16",11
"2018-02-17",16
"2018-02-18",59
"2018-02-19",38
"2018-02-20",12
"2018-02-21",9
"2018-02-22",12
"2018-02-23",11
"2018-02-24",14
"2018-02-25",20
"2018-02-26",16
"2018-02-27",20
"2018-02-28",11
"2018-03-01",12
"2018-03-02",11
"2018-03-03",14
"2018-03-04",22
"2018-03-05",13
"2018-03-06",11
"2018-03-07",10
"2018-03-08",11
"2018-03-09",12
"2018-03-10",12
"2018-03-11",18
"2018-03-12",11
"2018-03-13",11
"2018-03-14",10
"2018-03-15",12
"2018-03-16",11
"2018-03-17",14
"2018-03-18",19
"2018-03-19",15
"2018-03-20",15
"2018-03-21",15
"2018-03-22",12
"2018-03-23",11
"2018-03-24",15
"2018-03-25",19
"2018-03-26",16
"2018-03-27",13
"2018-03-28",12
"2018-03-29",14
"2018-03-30",11
"2018-03-31",14
"2018-04-01",20
"2018-04-02",13
"2018-04-03",12
"2018-04-04",11
"2018-04-05",13
"2018-04-06",12
"2018-04-07",14
"2018-04-08",15
"2018-04-09",11
"2018-04-10",9
"2018-04-11",11
"2018-04-12",19
"2018-04-13",100
"2018-04-14",34
"2018-04-15",20
"2018-04-16",12
"2018-04-17",14
"2018-04-18",11
"2018-04-19",10
