네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","블랙야크"
"2017-08-01",6
"2017-08-02",8
"2017-08-03",8
"2017-08-04",5
"2017-08-05",7
"2017-08-06",8
"2017-08-07",9
"2017-08-08",11
"2017-08-09",6
"2017-08-10",6
"2017-08-11",5
"2017-08-12",8
"2017-08-13",9
"2017-08-14",9
"2017-08-15",10
"2017-08-16",8
"2017-08-17",8
"2017-08-18",7
"2017-08-19",8
"2017-08-20",7
"2017-08-21",8
"2017-08-22",11
"2017-08-23",12
"2017-08-24",8
"2017-08-25",6
"2017-08-26",7
"2017-08-27",11
"2017-08-28",11
"2017-08-29",11
"2017-08-30",14
"2017-08-31",14
"2017-09-01",12
"2017-09-02",11
"2017-09-03",12
"2017-09-04",13
"2017-09-05",14
"2017-09-06",14
"2017-09-07",14
"2017-09-08",12
"2017-09-09",10
"2017-09-10",18
"2017-09-11",21
"2017-09-12",16
"2017-09-13",15
"2017-09-14",15
"2017-09-15",14
"2017-09-16",17
"2017-09-17",21
"2017-09-18",21
"2017-09-19",18
"2017-09-20",16
"2017-09-21",21
"2017-09-22",18
"2017-09-23",19
"2017-09-24",23
"2017-09-25",21
"2017-09-26",24
"2017-09-27",30
"2017-09-28",19
"2017-09-29",13
"2017-09-30",18
"2017-10-01",23
"2017-10-02",21
"2017-10-03",22
"2017-10-04",22
"2017-10-05",30
"2017-10-06",26
"2017-10-07",28
"2017-10-08",33
"2017-10-09",39
"2017-10-10",37
"2017-10-11",41
"2017-10-12",43
"2017-10-13",25
"2017-10-14",27
"2017-10-15",40
"2017-10-16",33
"2017-10-17",31
"2017-10-18",30
"2017-10-19",22
"2017-10-20",29
"2017-10-21",32
"2017-10-22",30
"2017-10-23",39
"2017-10-24",36
"2017-10-25",32
"2017-10-26",42
"2017-10-27",30
"2017-10-28",32
"2017-10-29",41
"2017-10-30",45
"2017-10-31",55
"2017-11-01",56
"2017-11-02",62
"2017-11-03",47
"2017-11-04",47
"2017-11-05",60
"2017-11-06",54
"2017-11-07",52
"2017-11-08",60
"2017-11-09",48
"2017-11-10",41
"2017-11-11",42
"2017-11-12",58
"2017-11-13",68
"2017-11-14",51
"2017-11-15",54
"2017-11-16",72
"2017-11-17",68
"2017-11-18",76
"2017-11-19",100
"2017-11-20",82
"2017-11-21",88
"2017-11-22",74
"2017-11-23",80
"2017-11-24",64
"2017-11-25",63
"2017-11-26",76
"2017-11-27",67
"2017-11-28",68
"2017-11-29",54
"2017-11-30",56
"2017-12-01",59
"2017-12-02",58
"2017-12-03",69
"2017-12-04",54
"2017-12-05",64
"2017-12-06",58
"2017-12-07",47
"2017-12-08",46
"2017-12-09",42
"2017-12-10",52
"2017-12-11",56
"2017-12-12",51
"2017-12-13",59
"2017-12-14",57
"2017-12-15",48
"2017-12-16",45
"2017-12-17",47
"2017-12-18",57
"2017-12-19",46
"2017-12-20",62
"2017-12-21",40
"2017-12-22",35
"2017-12-23",33
"2017-12-24",48
"2017-12-25",57
"2017-12-26",50
"2017-12-27",45
"2017-12-28",43
"2017-12-29",26
"2017-12-30",36
"2017-12-31",35
"2018-01-01",41
"2018-01-02",38
"2018-01-03",32
"2018-01-04",32
"2018-01-05",26
"2018-01-06",28
"2018-01-07",39
"2018-01-08",35
"2018-01-09",40
"2018-01-10",36
"2018-01-11",40
"2018-01-12",43
"2018-01-13",43
"2018-01-14",43
"2018-01-15",32
"2018-01-16",25
"2018-01-17",23
"2018-01-18",17
"2018-01-19",19
"2018-01-20",20
"2018-01-21",28
"2018-01-22",22
"2018-01-23",26
"2018-01-24",35
"2018-01-25",29
"2018-01-26",28
"2018-01-27",32
"2018-01-28",42
"2018-01-29",29
"2018-01-30",32
"2018-01-31",22
"2018-02-01",28
"2018-02-02",20
"2018-02-03",27
"2018-02-04",33
"2018-02-05",37
"2018-02-06",26
"2018-02-07",34
"2018-02-08",29
"2018-02-09",20
"2018-02-10",21
"2018-02-11",28
"2018-02-12",20
"2018-02-13",19
"2018-02-14",12
"2018-02-15",17
"2018-02-16",18
"2018-02-17",24
"2018-02-18",23
"2018-02-19",17
"2018-02-20",17
"2018-02-21",16
"2018-02-22",18
"2018-02-23",12
"2018-02-24",15
"2018-02-25",19
"2018-02-26",14
"2018-02-27",15
"2018-02-28",11
"2018-03-01",15
"2018-03-02",11
"2018-03-03",17
"2018-03-04",17
"2018-03-05",9
"2018-03-06",14
"2018-03-07",9
"2018-03-08",12
"2018-03-09",11
"2018-03-10",16
"2018-03-11",17
"2018-03-12",11
"2018-03-13",14
"2018-03-14",13
"2018-03-15",15
"2018-03-16",10
"2018-03-17",18
"2018-03-18",21
"2018-03-19",14
"2018-03-20",17
"2018-03-21",13
"2018-03-22",16
"2018-03-23",11
"2018-03-24",15
"2018-03-25",19
"2018-03-26",20
"2018-03-27",16
"2018-03-28",15
"2018-03-29",19
"2018-03-30",17
"2018-03-31",19
"2018-04-01",19
"2018-04-02",18
"2018-04-03",12
"2018-04-04",14
"2018-04-05",12
"2018-04-06",15
"2018-04-07",11
"2018-04-08",20
"2018-04-09",14
"2018-04-10",10
"2018-04-11",12
"2018-04-12",15
"2018-04-13",11
"2018-04-14",16
"2018-04-15",12
"2018-04-16",12
"2018-04-17",15
"2018-04-18",16
"2018-04-19",14
