네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아디다스골프웨어"
"2017-08-01",18
"2017-08-02",18
"2017-08-03",22
"2017-08-04",19
"2017-08-05",15
"2017-08-06",28
"2017-08-07",17
"2017-08-08",17
"2017-08-09",16
"2017-08-10",21
"2017-08-11",15
"2017-08-12",17
"2017-08-13",18
"2017-08-14",25
"2017-08-15",22
"2017-08-16",22
"2017-08-17",21
"2017-08-18",19
"2017-08-19",22
"2017-08-20",30
"2017-08-21",21
"2017-08-22",21
"2017-08-23",30
"2017-08-24",28
"2017-08-25",22
"2017-08-26",22
"2017-08-27",31
"2017-08-28",23
"2017-08-29",27
"2017-08-30",33
"2017-08-31",28
"2017-09-01",25
"2017-09-02",31
"2017-09-03",39
"2017-09-04",38
"2017-09-05",35
"2017-09-06",29
"2017-09-07",30
"2017-09-08",24
"2017-09-09",31
"2017-09-10",45
"2017-09-11",34
"2017-09-12",31
"2017-09-13",32
"2017-09-14",32
"2017-09-15",30
"2017-09-16",33
"2017-09-17",43
"2017-09-18",34
"2017-09-19",36
"2017-09-20",25
"2017-09-21",37
"2017-09-22",36
"2017-09-23",38
"2017-09-24",41
"2017-09-25",44
"2017-09-26",38
"2017-09-27",36
"2017-09-28",37
"2017-09-29",28
"2017-09-30",34
"2017-10-01",55
"2017-10-02",37
"2017-10-03",43
"2017-10-04",30
"2017-10-05",39
"2017-10-06",59
"2017-10-07",56
"2017-10-08",64
"2017-10-09",60
"2017-10-10",58
"2017-10-11",55
"2017-10-12",77
"2017-10-13",51
"2017-10-14",56
"2017-10-15",100
"2017-10-16",55
"2017-10-17",60
"2017-10-18",59
"2017-10-19",53
"2017-10-20",40
"2017-10-21",62
"2017-10-22",75
"2017-10-23",50
"2017-10-24",61
"2017-10-25",69
"2017-10-26",62
"2017-10-27",51
"2017-10-28",66
"2017-10-29",100
"2017-10-30",81
"2017-10-31",69
"2017-11-01",76
"2017-11-02",60
"2017-11-03",62
"2017-11-04",60
"2017-11-05",76
"2017-11-06",62
"2017-11-07",52
"2017-11-08",49
"2017-11-09",43
"2017-11-10",42
"2017-11-11",50
"2017-11-12",64
"2017-11-13",44
"2017-11-14",37
"2017-11-15",47
"2017-11-16",35
"2017-11-17",39
"2017-11-18",43
"2017-11-19",49
"2017-11-20",53
"2017-11-21",38
"2017-11-22",39
"2017-11-23",37
"2017-11-24",30
"2017-11-25",34
"2017-11-26",39
"2017-11-27",28
"2017-11-28",28
"2017-11-29",25
"2017-11-30",20
"2017-12-01",26
"2017-12-02",20
"2017-12-03",29
"2017-12-04",24
"2017-12-05",27
"2017-12-06",30
"2017-12-07",24
"2017-12-08",19
"2017-12-09",19
"2017-12-10",33
"2017-12-11",19
"2017-12-12",24
"2017-12-13",17
"2017-12-14",15
"2017-12-15",14
"2017-12-16",21
"2017-12-17",29
"2017-12-18",13
"2017-12-19",11
"2017-12-20",16
"2017-12-21",12
"2017-12-22",13
"2017-12-23",15
"2017-12-24",17
"2017-12-25",23
"2017-12-26",16
"2017-12-27",21
"2017-12-28",13
"2017-12-29",15
"2017-12-30",18
"2017-12-31",21
"2018-01-01",17
"2018-01-02",14
"2018-01-03",13
"2018-01-04",15
"2018-01-05",17
"2018-01-06",18
"2018-01-07",29
"2018-01-08",22
"2018-01-09",22
"2018-01-10",20
"2018-01-11",21
"2018-01-12",17
"2018-01-13",20
"2018-01-14",25
"2018-01-15",18
"2018-01-16",26
"2018-01-17",16
"2018-01-18",22
"2018-01-19",13
"2018-01-20",20
"2018-01-21",30
"2018-01-22",21
"2018-01-23",20
"2018-01-24",15
"2018-01-25",18
"2018-01-26",10
"2018-01-27",17
"2018-01-28",25
"2018-01-29",21
"2018-01-30",15
"2018-01-31",20
"2018-02-01",19
"2018-02-02",15
"2018-02-03",20
"2018-02-04",20
"2018-02-05",19
"2018-02-06",14
"2018-02-07",16
"2018-02-08",15
"2018-02-09",16
"2018-02-10",23
"2018-02-11",26
"2018-02-12",28
"2018-02-13",18
"2018-02-14",19
"2018-02-15",22
"2018-02-16",18
"2018-02-17",21
"2018-02-18",38
"2018-02-19",31
"2018-02-20",27
"2018-02-21",30
"2018-02-22",33
"2018-02-23",20
"2018-02-24",40
"2018-02-25",42
"2018-02-26",37
"2018-02-27",37
"2018-02-28",40
"2018-03-01",37
"2018-03-02",24
"2018-03-03",37
"2018-03-04",70
"2018-03-05",43
"2018-03-06",29
"2018-03-07",27
"2018-03-08",32
"2018-03-09",33
"2018-03-10",36
"2018-03-11",39
"2018-03-12",35
"2018-03-13",35
"2018-03-14",36
"2018-03-15",31
"2018-03-16",34
"2018-03-17",40
"2018-03-18",45
"2018-03-19",38
"2018-03-20",38
"2018-03-21",34
"2018-03-22",30
"2018-03-23",32
"2018-03-24",37
"2018-03-25",43
"2018-03-26",31
"2018-03-27",30
"2018-03-28",38
"2018-03-29",32
"2018-03-30",33
"2018-03-31",38
"2018-04-01",52
"2018-04-02",44
"2018-04-03",40
"2018-04-04",34
"2018-04-05",38
"2018-04-06",31
"2018-04-07",28
"2018-04-08",34
"2018-04-09",29
"2018-04-10",26
"2018-04-11",30
"2018-04-12",30
"2018-04-13",25
"2018-04-14",32
"2018-04-15",37
"2018-04-16",23
"2018-04-17",33
"2018-04-18",25
"2018-04-19",26
