네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","k2등산화"
"2017-08-01",14
"2017-08-02",20
"2017-08-03",18
"2017-08-04",20
"2017-08-05",24
"2017-08-06",19
"2017-08-07",20
"2017-08-08",15
"2017-08-09",26
"2017-08-10",16
"2017-08-11",17
"2017-08-12",23
"2017-08-13",22
"2017-08-14",21
"2017-08-15",33
"2017-08-16",31
"2017-08-17",30
"2017-08-18",27
"2017-08-19",20
"2017-08-20",26
"2017-08-21",27
"2017-08-22",28
"2017-08-23",34
"2017-08-24",25
"2017-08-25",21
"2017-08-26",29
"2017-08-27",33
"2017-08-28",26
"2017-08-29",32
"2017-08-30",38
"2017-08-31",22
"2017-09-01",21
"2017-09-02",23
"2017-09-03",34
"2017-09-04",39
"2017-09-05",37
"2017-09-06",24
"2017-09-07",31
"2017-09-08",26
"2017-09-09",25
"2017-09-10",27
"2017-09-11",45
"2017-09-12",43
"2017-09-13",31
"2017-09-14",29
"2017-09-15",31
"2017-09-16",31
"2017-09-17",44
"2017-09-18",53
"2017-09-19",39
"2017-09-20",36
"2017-09-21",37
"2017-09-22",23
"2017-09-23",23
"2017-09-24",47
"2017-09-25",48
"2017-09-26",46
"2017-09-27",41
"2017-09-28",24
"2017-09-29",20
"2017-09-30",31
"2017-10-01",36
"2017-10-02",39
"2017-10-03",27
"2017-10-04",27
"2017-10-05",43
"2017-10-06",59
"2017-10-07",57
"2017-10-08",61
"2017-10-09",72
"2017-10-10",60
"2017-10-11",55
"2017-10-12",50
"2017-10-13",52
"2017-10-14",47
"2017-10-15",60
"2017-10-16",67
"2017-10-17",49
"2017-10-18",56
"2017-10-19",47
"2017-10-20",41
"2017-10-21",55
"2017-10-22",71
"2017-10-23",68
"2017-10-24",55
"2017-10-25",56
"2017-10-26",51
"2017-10-27",53
"2017-10-28",54
"2017-10-29",54
"2017-10-30",62
"2017-10-31",48
"2017-11-01",50
"2017-11-02",44
"2017-11-03",39
"2017-11-04",47
"2017-11-05",65
"2017-11-06",66
"2017-11-07",67
"2017-11-08",63
"2017-11-09",54
"2017-11-10",53
"2017-11-11",47
"2017-11-12",90
"2017-11-13",70
"2017-11-14",57
"2017-11-15",55
"2017-11-16",48
"2017-11-17",40
"2017-11-18",44
"2017-11-19",50
"2017-11-20",46
"2017-11-21",44
"2017-11-22",41
"2017-11-23",43
"2017-11-24",43
"2017-11-25",57
"2017-11-26",61
"2017-11-27",53
"2017-11-28",44
"2017-11-29",38
"2017-11-30",50
"2017-12-01",43
"2017-12-02",51
"2017-12-03",45
"2017-12-04",62
"2017-12-05",61
"2017-12-06",67
"2017-12-07",50
"2017-12-08",41
"2017-12-09",48
"2017-12-10",57
"2017-12-11",70
"2017-12-12",61
"2017-12-13",55
"2017-12-14",45
"2017-12-15",41
"2017-12-16",35
"2017-12-17",51
"2017-12-18",60
"2017-12-19",59
"2017-12-20",56
"2017-12-21",54
"2017-12-22",46
"2017-12-23",38
"2017-12-24",55
"2017-12-25",59
"2017-12-26",54
"2017-12-27",57
"2017-12-28",37
"2017-12-29",34
"2017-12-30",43
"2017-12-31",44
"2018-01-01",66
"2018-01-02",51
"2018-01-03",58
"2018-01-04",51
"2018-01-05",50
"2018-01-06",47
"2018-01-07",66
"2018-01-08",75
"2018-01-09",81
"2018-01-10",70
"2018-01-11",55
"2018-01-12",53
"2018-01-13",58
"2018-01-14",79
"2018-01-15",81
"2018-01-16",100
"2018-01-17",69
"2018-01-18",56
"2018-01-19",53
"2018-01-20",58
"2018-01-21",81
"2018-01-22",79
"2018-01-23",64
"2018-01-24",74
"2018-01-25",75
"2018-01-26",58
"2018-01-27",52
"2018-01-28",66
"2018-01-29",66
"2018-01-30",64
"2018-01-31",66
"2018-02-01",54
"2018-02-02",40
"2018-02-03",58
"2018-02-04",79
"2018-02-05",62
"2018-02-06",52
"2018-02-07",57
"2018-02-08",60
"2018-02-09",41
"2018-02-10",46
"2018-02-11",57
"2018-02-12",44
"2018-02-13",36
"2018-02-14",38
"2018-02-15",37
"2018-02-16",43
"2018-02-17",47
"2018-02-18",71
"2018-02-19",68
"2018-02-20",71
"2018-02-21",49
"2018-02-22",59
"2018-02-23",55
"2018-02-24",62
"2018-02-25",65
"2018-02-26",77
"2018-02-27",58
"2018-02-28",53
"2018-03-01",88
"2018-03-02",51
"2018-03-03",54
"2018-03-04",76
"2018-03-05",70
"2018-03-06",61
"2018-03-07",79
"2018-03-08",60
"2018-03-09",60
"2018-03-10",48
"2018-03-11",63
"2018-03-12",67
"2018-03-13",63
"2018-03-14",45
"2018-03-15",52
"2018-03-16",53
"2018-03-17",50
"2018-03-18",58
"2018-03-19",58
"2018-03-20",49
"2018-03-21",60
"2018-03-22",44
"2018-03-23",39
"2018-03-24",45
"2018-03-25",66
"2018-03-26",60
"2018-03-27",57
"2018-03-28",56
"2018-03-29",47
"2018-03-30",42
"2018-03-31",44
"2018-04-01",54
"2018-04-02",50
"2018-04-03",49
"2018-04-04",56
"2018-04-05",52
"2018-04-06",39
"2018-04-07",43
"2018-04-08",54
"2018-04-09",59
"2018-04-10",52
"2018-04-11",49
"2018-04-12",50
"2018-04-13",41
"2018-04-14",55
"2018-04-15",72
"2018-04-16",63
"2018-04-17",60
"2018-04-18",58
"2018-04-19",59
