네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","농구화"
"2017-08-01",21
"2017-08-02",29
"2017-08-03",28
"2017-08-04",23
"2017-08-05",32
"2017-08-06",32
"2017-08-07",38
"2017-08-08",26
"2017-08-09",30
"2017-08-10",26
"2017-08-11",25
"2017-08-12",31
"2017-08-13",35
"2017-08-14",26
"2017-08-15",28
"2017-08-16",31
"2017-08-17",26
"2017-08-18",27
"2017-08-19",37
"2017-08-20",44
"2017-08-21",36
"2017-08-22",28
"2017-08-23",32
"2017-08-24",26
"2017-08-25",23
"2017-08-26",43
"2017-08-27",52
"2017-08-28",35
"2017-08-29",36
"2017-08-30",37
"2017-08-31",37
"2017-09-01",35
"2017-09-02",43
"2017-09-03",49
"2017-09-04",36
"2017-09-05",36
"2017-09-06",36
"2017-09-07",40
"2017-09-08",33
"2017-09-09",43
"2017-09-10",46
"2017-09-11",33
"2017-09-12",49
"2017-09-13",41
"2017-09-14",38
"2017-09-15",33
"2017-09-16",47
"2017-09-17",59
"2017-09-18",46
"2017-09-19",53
"2017-09-20",38
"2017-09-21",42
"2017-09-22",41
"2017-09-23",45
"2017-09-24",65
"2017-09-25",45
"2017-09-26",38
"2017-09-27",46
"2017-09-28",49
"2017-09-29",39
"2017-09-30",39
"2017-10-01",60
"2017-10-02",57
"2017-10-03",45
"2017-10-04",38
"2017-10-05",51
"2017-10-06",63
"2017-10-07",60
"2017-10-08",55
"2017-10-09",70
"2017-10-10",45
"2017-10-11",54
"2017-10-12",48
"2017-10-13",41
"2017-10-14",64
"2017-10-15",66
"2017-10-16",56
"2017-10-17",48
"2017-10-18",59
"2017-10-19",70
"2017-10-20",44
"2017-10-21",58
"2017-10-22",72
"2017-10-23",53
"2017-10-24",54
"2017-10-25",60
"2017-10-26",60
"2017-10-27",75
"2017-10-28",80
"2017-10-29",87
"2017-10-30",73
"2017-10-31",62
"2017-11-01",67
"2017-11-02",67
"2017-11-03",55
"2017-11-04",71
"2017-11-05",84
"2017-11-06",62
"2017-11-07",59
"2017-11-08",59
"2017-11-09",63
"2017-11-10",53
"2017-11-11",75
"2017-11-12",76
"2017-11-13",76
"2017-11-14",74
"2017-11-15",62
"2017-11-16",61
"2017-11-17",57
"2017-11-18",62
"2017-11-19",96
"2017-11-20",69
"2017-11-21",64
"2017-11-22",79
"2017-11-23",77
"2017-11-24",61
"2017-11-25",74
"2017-11-26",91
"2017-11-27",61
"2017-11-28",65
"2017-11-29",52
"2017-11-30",58
"2017-12-01",63
"2017-12-02",63
"2017-12-03",98
"2017-12-04",67
"2017-12-05",59
"2017-12-06",65
"2017-12-07",72
"2017-12-08",53
"2017-12-09",64
"2017-12-10",77
"2017-12-11",69
"2017-12-12",69
"2017-12-13",71
"2017-12-14",62
"2017-12-15",49
"2017-12-16",65
"2017-12-17",78
"2017-12-18",63
"2017-12-19",52
"2017-12-20",63
"2017-12-21",54
"2017-12-22",50
"2017-12-23",72
"2017-12-24",91
"2017-12-25",77
"2017-12-26",71
"2017-12-27",57
"2017-12-28",56
"2017-12-29",75
"2017-12-30",71
"2017-12-31",73
"2018-01-01",89
"2018-01-02",70
"2018-01-03",66
"2018-01-04",58
"2018-01-05",77
"2018-01-06",80
"2018-01-07",79
"2018-01-08",61
"2018-01-09",73
"2018-01-10",61
"2018-01-11",64
"2018-01-12",48
"2018-01-13",65
"2018-01-14",88
"2018-01-15",68
"2018-01-16",69
"2018-01-17",70
"2018-01-18",64
"2018-01-19",65
"2018-01-20",71
"2018-01-21",89
"2018-01-22",65
"2018-01-23",65
"2018-01-24",63
"2018-01-25",51
"2018-01-26",59
"2018-01-27",75
"2018-01-28",84
"2018-01-29",57
"2018-01-30",49
"2018-01-31",60
"2018-02-01",50
"2018-02-02",54
"2018-02-03",77
"2018-02-04",93
"2018-02-05",63
"2018-02-06",58
"2018-02-07",55
"2018-02-08",56
"2018-02-09",47
"2018-02-10",55
"2018-02-11",79
"2018-02-12",57
"2018-02-13",63
"2018-02-14",57
"2018-02-15",54
"2018-02-16",51
"2018-02-17",82
"2018-02-18",90
"2018-02-19",59
"2018-02-20",68
"2018-02-21",72
"2018-02-22",53
"2018-02-23",53
"2018-02-24",54
"2018-02-25",67
"2018-02-26",66
"2018-02-27",55
"2018-02-28",61
"2018-03-01",83
"2018-03-02",52
"2018-03-03",75
"2018-03-04",85
"2018-03-05",74
"2018-03-06",59
"2018-03-07",56
"2018-03-08",60
"2018-03-09",71
"2018-03-10",92
"2018-03-11",99
"2018-03-12",83
"2018-03-13",60
"2018-03-14",63
"2018-03-15",69
"2018-03-16",62
"2018-03-17",88
"2018-03-18",98
"2018-03-19",91
"2018-03-20",80
"2018-03-21",69
"2018-03-22",68
"2018-03-23",72
"2018-03-24",83
"2018-03-25",100
"2018-03-26",63
"2018-03-27",77
"2018-03-28",64
"2018-03-29",69
"2018-03-30",62
"2018-03-31",66
"2018-04-01",86
"2018-04-02",78
"2018-04-03",86
"2018-04-04",65
"2018-04-05",65
"2018-04-06",56
"2018-04-07",81
"2018-04-08",83
"2018-04-09",78
"2018-04-10",74
"2018-04-11",72
"2018-04-12",67
"2018-04-13",67
"2018-04-14",79
"2018-04-15",85
"2018-04-16",86
"2018-04-17",70
"2018-04-18",66
"2018-04-19",64
