네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","전동킥보드"
"2017-08-01",56
"2017-08-02",54
"2017-08-03",56
"2017-08-04",57
"2017-08-05",52
"2017-08-06",66
"2017-08-07",60
"2017-08-08",65
"2017-08-09",56
"2017-08-10",52
"2017-08-11",48
"2017-08-12",55
"2017-08-13",66
"2017-08-14",67
"2017-08-15",64
"2017-08-16",56
"2017-08-17",55
"2017-08-18",60
"2017-08-19",60
"2017-08-20",65
"2017-08-21",69
"2017-08-22",73
"2017-08-23",68
"2017-08-24",66
"2017-08-25",60
"2017-08-26",67
"2017-08-27",83
"2017-08-28",59
"2017-08-29",68
"2017-08-30",67
"2017-08-31",65
"2017-09-01",56
"2017-09-02",61
"2017-09-03",90
"2017-09-04",76
"2017-09-05",62
"2017-09-06",55
"2017-09-07",59
"2017-09-08",64
"2017-09-09",67
"2017-09-10",85
"2017-09-11",71
"2017-09-12",74
"2017-09-13",61
"2017-09-14",63
"2017-09-15",58
"2017-09-16",70
"2017-09-17",80
"2017-09-18",77
"2017-09-19",70
"2017-09-20",66
"2017-09-21",72
"2017-09-22",57
"2017-09-23",65
"2017-09-24",79
"2017-09-25",81
"2017-09-26",87
"2017-09-27",77
"2017-09-28",67
"2017-09-29",58
"2017-09-30",65
"2017-10-01",58
"2017-10-02",57
"2017-10-03",66
"2017-10-04",66
"2017-10-05",72
"2017-10-06",83
"2017-10-07",85
"2017-10-08",85
"2017-10-09",100
"2017-10-10",79
"2017-10-11",62
"2017-10-12",55
"2017-10-13",50
"2017-10-14",55
"2017-10-15",68
"2017-10-16",63
"2017-10-17",61
"2017-10-18",60
"2017-10-19",60
"2017-10-20",54
"2017-10-21",58
"2017-10-22",65
"2017-10-23",61
"2017-10-24",58
"2017-10-25",61
"2017-10-26",52
"2017-10-27",50
"2017-10-28",54
"2017-10-29",61
"2017-10-30",45
"2017-10-31",38
"2017-11-01",38
"2017-11-02",36
"2017-11-03",38
"2017-11-04",37
"2017-11-05",42
"2017-11-06",33
"2017-11-07",35
"2017-11-08",32
"2017-11-09",29
"2017-11-10",26
"2017-11-11",27
"2017-11-12",32
"2017-11-13",28
"2017-11-14",28
"2017-11-15",24
"2017-11-16",21
"2017-11-17",23
"2017-11-18",18
"2017-11-19",21
"2017-11-20",22
"2017-11-21",21
"2017-11-22",21
"2017-11-23",19
"2017-11-24",17
"2017-11-25",17
"2017-11-26",21
"2017-11-27",22
"2017-11-28",24
"2017-11-29",20
"2017-11-30",21
"2017-12-01",23
"2017-12-02",27
"2017-12-03",32
"2017-12-04",28
"2017-12-05",22
"2017-12-06",18
"2017-12-07",20
"2017-12-08",19
"2017-12-09",19
"2017-12-10",23
"2017-12-11",19
"2017-12-12",17
"2017-12-13",23
"2017-12-14",17
"2017-12-15",18
"2017-12-16",21
"2017-12-17",19
"2017-12-18",20
"2017-12-19",18
"2017-12-20",20
"2017-12-21",19
"2017-12-22",17
"2017-12-23",18
"2017-12-24",19
"2017-12-25",22
"2017-12-26",20
"2017-12-27",17
"2017-12-28",19
"2017-12-29",20
"2017-12-30",19
"2017-12-31",19
"2018-01-01",21
"2018-01-02",20
"2018-01-03",22
"2018-01-04",22
"2018-01-05",26
"2018-01-06",21
"2018-01-07",24
"2018-01-08",21
"2018-01-09",18
"2018-01-10",15
"2018-01-11",15
"2018-01-12",16
"2018-01-13",16
"2018-01-14",19
"2018-01-15",19
"2018-01-16",17
"2018-01-17",19
"2018-01-18",20
"2018-01-19",22
"2018-01-20",21
"2018-01-21",24
"2018-01-22",27
"2018-01-23",22
"2018-01-24",19
"2018-01-25",16
"2018-01-26",16
"2018-01-27",16
"2018-01-28",24
"2018-01-29",20
"2018-01-30",21
"2018-01-31",21
"2018-02-01",20
"2018-02-02",21
"2018-02-03",16
"2018-02-04",25
"2018-02-05",21
"2018-02-06",21
"2018-02-07",20
"2018-02-08",21
"2018-02-09",23
"2018-02-10",26
"2018-02-11",25
"2018-02-12",22
"2018-02-13",20
"2018-02-14",21
"2018-02-15",24
"2018-02-16",28
"2018-02-17",26
"2018-02-18",29
"2018-02-19",34
"2018-02-20",31
"2018-02-21",36
"2018-02-22",36
"2018-02-23",31
"2018-02-24",34
"2018-02-25",48
"2018-02-26",41
"2018-02-27",42
"2018-02-28",32
"2018-03-01",36
"2018-03-02",39
"2018-03-03",41
"2018-03-04",49
"2018-03-05",42
"2018-03-06",49
"2018-03-07",42
"2018-03-08",35
"2018-03-09",35
"2018-03-10",41
"2018-03-11",58
"2018-03-12",52
"2018-03-13",50
"2018-03-14",51
"2018-03-15",42
"2018-03-16",40
"2018-03-17",43
"2018-03-18",55
"2018-03-19",47
"2018-03-20",39
"2018-03-21",39
"2018-03-22",41
"2018-03-23",47
"2018-03-24",62
"2018-03-25",72
"2018-03-26",65
"2018-03-27",70
"2018-03-28",70
"2018-03-29",66
"2018-03-30",64
"2018-03-31",66
"2018-04-01",74
"2018-04-02",78
"2018-04-03",71
"2018-04-04",59
"2018-04-05",50
"2018-04-06",45
"2018-04-07",45
"2018-04-08",54
"2018-04-09",55
"2018-04-10",55
"2018-04-11",53
"2018-04-12",54
"2018-04-13",49
"2018-04-14",45
"2018-04-15",56
"2018-04-16",51
"2018-04-17",45
"2018-04-18",44
"2018-04-19",44
