네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","남자구스다운"
"2017-08-01",
"2017-08-02",
"2017-08-03",1
"2017-08-04",1
"2017-08-05",1
"2017-08-06",1
"2017-08-07",1
"2017-08-08",
"2017-08-09",
"2017-08-10",2
"2017-08-11",1
"2017-08-12",1
"2017-08-13",
"2017-08-14",2
"2017-08-15",2
"2017-08-16",3
"2017-08-17",2
"2017-08-18",1
"2017-08-19",2
"2017-08-20",4
"2017-08-21",3
"2017-08-22",2
"2017-08-23",1
"2017-08-24",2
"2017-08-25",1
"2017-08-26",2
"2017-08-27",3
"2017-08-28",2
"2017-08-29",4
"2017-08-30",1
"2017-08-31",1
"2017-09-01",4
"2017-09-02",2
"2017-09-03",2
"2017-09-04",2
"2017-09-05",2
"2017-09-06",1
"2017-09-07",2
"2017-09-08",2
"2017-09-09",1
"2017-09-10",3
"2017-09-11",4
"2017-09-12",2
"2017-09-13",2
"2017-09-14",1
"2017-09-15",1
"2017-09-16",3
"2017-09-17",2
"2017-09-18",3
"2017-09-19",2
"2017-09-20",1
"2017-09-21",1
"2017-09-22",1
"2017-09-23",1
"2017-09-24",1
"2017-09-25",2
"2017-09-26",2
"2017-09-27",2
"2017-09-28",2
"2017-09-29",1
"2017-09-30",3
"2017-10-01",5
"2017-10-02",4
"2017-10-03",3
"2017-10-04",2
"2017-10-05",2
"2017-10-06",4
"2017-10-07",2
"2017-10-08",4
"2017-10-09",2
"2017-10-10",3
"2017-10-11",5
"2017-10-12",6
"2017-10-13",5
"2017-10-14",6
"2017-10-15",9
"2017-10-16",7
"2017-10-17",6
"2017-10-18",5
"2017-10-19",6
"2017-10-20",5
"2017-10-21",4
"2017-10-22",8
"2017-10-23",6
"2017-10-24",5
"2017-10-25",9
"2017-10-26",8
"2017-10-27",10
"2017-10-28",8
"2017-10-29",16
"2017-10-30",22
"2017-10-31",26
"2017-11-01",18
"2017-11-02",21
"2017-11-03",27
"2017-11-04",20
"2017-11-05",29
"2017-11-06",29
"2017-11-07",22
"2017-11-08",22
"2017-11-09",20
"2017-11-10",26
"2017-11-11",29
"2017-11-12",42
"2017-11-13",38
"2017-11-14",41
"2017-11-15",51
"2017-11-16",54
"2017-11-17",43
"2017-11-18",63
"2017-11-19",100
"2017-11-20",77
"2017-11-21",69
"2017-11-22",67
"2017-11-23",59
"2017-11-24",52
"2017-11-25",51
"2017-11-26",61
"2017-11-27",56
"2017-11-28",46
"2017-11-29",40
"2017-11-30",43
"2017-12-01",46
"2017-12-02",47
"2017-12-03",45
"2017-12-04",52
"2017-12-05",64
"2017-12-06",54
"2017-12-07",45
"2017-12-08",43
"2017-12-09",47
"2017-12-10",55
"2017-12-11",58
"2017-12-12",58
"2017-12-13",58
"2017-12-14",51
"2017-12-15",40
"2017-12-16",42
"2017-12-17",59
"2017-12-18",54
"2017-12-19",46
"2017-12-20",40
"2017-12-21",32
"2017-12-22",27
"2017-12-23",30
"2017-12-24",29
"2017-12-25",37
"2017-12-26",39
"2017-12-27",42
"2017-12-28",34
"2017-12-29",22
"2017-12-30",26
"2017-12-31",33
"2018-01-01",30
"2018-01-02",23
"2018-01-03",30
"2018-01-04",29
"2018-01-05",23
"2018-01-06",30
"2018-01-07",37
"2018-01-08",30
"2018-01-09",31
"2018-01-10",33
"2018-01-11",38
"2018-01-12",32
"2018-01-13",28
"2018-01-14",35
"2018-01-15",21
"2018-01-16",19
"2018-01-17",22
"2018-01-18",19
"2018-01-19",13
"2018-01-20",20
"2018-01-21",22
"2018-01-22",19
"2018-01-23",29
"2018-01-24",37
"2018-01-25",34
"2018-01-26",33
"2018-01-27",41
"2018-01-28",49
"2018-01-29",35
"2018-01-30",31
"2018-01-31",22
"2018-02-01",23
"2018-02-02",18
"2018-02-03",33
"2018-02-04",43
"2018-02-05",37
"2018-02-06",41
"2018-02-07",29
"2018-02-08",23
"2018-02-09",20
"2018-02-10",20
"2018-02-11",29
"2018-02-12",19
"2018-02-13",20
"2018-02-14",17
"2018-02-15",14
"2018-02-16",17
"2018-02-17",17
"2018-02-18",29
"2018-02-19",17
"2018-02-20",14
"2018-02-21",9
"2018-02-22",10
"2018-02-23",9
"2018-02-24",11
"2018-02-25",11
"2018-02-26",10
"2018-02-27",6
"2018-02-28",6
"2018-03-01",8
"2018-03-02",8
"2018-03-03",8
"2018-03-04",8
"2018-03-05",6
"2018-03-06",3
"2018-03-07",5
"2018-03-08",5
"2018-03-09",3
"2018-03-10",3
"2018-03-11",7
"2018-03-12",4
"2018-03-13",3
"2018-03-14",2
"2018-03-15",2
"2018-03-16",2
"2018-03-17",3
"2018-03-18",3
"2018-03-19",1
"2018-03-20",2
"2018-03-21",2
"2018-03-22",1
"2018-03-23",2
"2018-03-24",2
"2018-03-25",1
"2018-03-26",1
"2018-03-27",1
"2018-03-28",
"2018-03-29",1
"2018-03-30",1
"2018-03-31",
"2018-04-01",1
"2018-04-02",1
"2018-04-03",
"2018-04-04",2
"2018-04-05",1
"2018-04-06",1
"2018-04-07",
"2018-04-08",
"2018-04-09",1
"2018-04-10",
"2018-04-11",
"2018-04-12",1
"2018-04-13",
"2018-04-14",1
"2018-04-15",1
"2018-04-16",1
"2018-04-17",
"2018-04-18",
"2018-04-19",
