네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","배드민턴화"
"2017-08-01",38
"2017-08-02",31
"2017-08-03",42
"2017-08-04",35
"2017-08-05",31
"2017-08-06",36
"2017-08-07",38
"2017-08-08",40
"2017-08-09",46
"2017-08-10",43
"2017-08-11",33
"2017-08-12",17
"2017-08-13",29
"2017-08-14",31
"2017-08-15",35
"2017-08-16",45
"2017-08-17",47
"2017-08-18",55
"2017-08-19",44
"2017-08-20",39
"2017-08-21",48
"2017-08-22",51
"2017-08-23",48
"2017-08-24",43
"2017-08-25",39
"2017-08-26",57
"2017-08-27",46
"2017-08-28",73
"2017-08-29",53
"2017-08-30",48
"2017-08-31",39
"2017-09-01",42
"2017-09-02",39
"2017-09-03",44
"2017-09-04",56
"2017-09-05",60
"2017-09-06",49
"2017-09-07",48
"2017-09-08",40
"2017-09-09",28
"2017-09-10",47
"2017-09-11",50
"2017-09-12",58
"2017-09-13",45
"2017-09-14",40
"2017-09-15",49
"2017-09-16",41
"2017-09-17",42
"2017-09-18",45
"2017-09-19",46
"2017-09-20",41
"2017-09-21",35
"2017-09-22",30
"2017-09-23",33
"2017-09-24",34
"2017-09-25",44
"2017-09-26",54
"2017-09-27",47
"2017-09-28",39
"2017-09-29",23
"2017-09-30",31
"2017-10-01",34
"2017-10-02",26
"2017-10-03",28
"2017-10-04",32
"2017-10-05",35
"2017-10-06",35
"2017-10-07",44
"2017-10-08",45
"2017-10-09",69
"2017-10-10",56
"2017-10-11",58
"2017-10-12",78
"2017-10-13",53
"2017-10-14",39
"2017-10-15",49
"2017-10-16",57
"2017-10-17",64
"2017-10-18",74
"2017-10-19",52
"2017-10-20",52
"2017-10-21",37
"2017-10-22",43
"2017-10-23",58
"2017-10-24",60
"2017-10-25",61
"2017-10-26",55
"2017-10-27",42
"2017-10-28",33
"2017-10-29",62
"2017-10-30",55
"2017-10-31",47
"2017-11-01",49
"2017-11-02",46
"2017-11-03",44
"2017-11-04",39
"2017-11-05",41
"2017-11-06",53
"2017-11-07",46
"2017-11-08",66
"2017-11-09",50
"2017-11-10",55
"2017-11-11",33
"2017-11-12",45
"2017-11-13",52
"2017-11-14",52
"2017-11-15",41
"2017-11-16",49
"2017-11-17",51
"2017-11-18",27
"2017-11-19",43
"2017-11-20",47
"2017-11-21",39
"2017-11-22",55
"2017-11-23",38
"2017-11-24",27
"2017-11-25",47
"2017-11-26",53
"2017-11-27",62
"2017-11-28",56
"2017-11-29",49
"2017-11-30",53
"2017-12-01",42
"2017-12-02",40
"2017-12-03",58
"2017-12-04",55
"2017-12-05",52
"2017-12-06",49
"2017-12-07",58
"2017-12-08",41
"2017-12-09",34
"2017-12-10",43
"2017-12-11",48
"2017-12-12",48
"2017-12-13",45
"2017-12-14",49
"2017-12-15",43
"2017-12-16",27
"2017-12-17",51
"2017-12-18",36
"2017-12-19",40
"2017-12-20",35
"2017-12-21",38
"2017-12-22",44
"2017-12-23",38
"2017-12-24",39
"2017-12-25",40
"2017-12-26",38
"2017-12-27",46
"2017-12-28",46
"2017-12-29",46
"2017-12-30",45
"2017-12-31",45
"2018-01-01",50
"2018-01-02",58
"2018-01-03",79
"2018-01-04",59
"2018-01-05",51
"2018-01-06",58
"2018-01-07",65
"2018-01-08",64
"2018-01-09",63
"2018-01-10",56
"2018-01-11",55
"2018-01-12",42
"2018-01-13",45
"2018-01-14",63
"2018-01-15",63
"2018-01-16",58
"2018-01-17",71
"2018-01-18",56
"2018-01-19",45
"2018-01-20",58
"2018-01-21",50
"2018-01-22",64
"2018-01-23",63
"2018-01-24",46
"2018-01-25",58
"2018-01-26",53
"2018-01-27",65
"2018-01-28",51
"2018-01-29",81
"2018-01-30",67
"2018-01-31",66
"2018-02-01",61
"2018-02-02",48
"2018-02-03",59
"2018-02-04",54
"2018-02-05",67
"2018-02-06",58
"2018-02-07",58
"2018-02-08",43
"2018-02-09",55
"2018-02-10",50
"2018-02-11",59
"2018-02-12",65
"2018-02-13",50
"2018-02-14",36
"2018-02-15",36
"2018-02-16",22
"2018-02-17",41
"2018-02-18",49
"2018-02-19",68
"2018-02-20",60
"2018-02-21",72
"2018-02-22",64
"2018-02-23",53
"2018-02-24",53
"2018-02-25",62
"2018-02-26",72
"2018-02-27",82
"2018-02-28",50
"2018-03-01",77
"2018-03-02",71
"2018-03-03",78
"2018-03-04",83
"2018-03-05",90
"2018-03-06",100
"2018-03-07",81
"2018-03-08",83
"2018-03-09",86
"2018-03-10",72
"2018-03-11",91
"2018-03-12",85
"2018-03-13",100
"2018-03-14",88
"2018-03-15",85
"2018-03-16",67
"2018-03-17",68
"2018-03-18",90
"2018-03-19",78
"2018-03-20",88
"2018-03-21",81
"2018-03-22",88
"2018-03-23",54
"2018-03-24",49
"2018-03-25",88
"2018-03-26",96
"2018-03-27",90
"2018-03-28",89
"2018-03-29",90
"2018-03-30",68
"2018-03-31",65
"2018-04-01",84
"2018-04-02",96
"2018-04-03",97
"2018-04-04",88
"2018-04-05",77
"2018-04-06",64
"2018-04-07",58
"2018-04-08",83
"2018-04-09",85
"2018-04-10",70
"2018-04-11",81
"2018-04-12",67
"2018-04-13",57
"2018-04-14",64
"2018-04-15",75
"2018-04-16",69
"2018-04-17",62
"2018-04-18",69
"2018-04-19",61
