네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","따수미난방텐트"
"2017-08-01",1
"2017-08-02",1
"2017-08-03",1
"2017-08-04",1
"2017-08-05",1
"2017-08-06",1
"2017-08-07",1
"2017-08-08",1
"2017-08-09",1
"2017-08-10",3
"2017-08-11",2
"2017-08-12",3
"2017-08-13",3
"2017-08-14",2
"2017-08-15",3
"2017-08-16",2
"2017-08-17",2
"2017-08-18",3
"2017-08-19",2
"2017-08-20",2
"2017-08-21",1
"2017-08-22",1
"2017-08-23",2
"2017-08-24",2
"2017-08-25",2
"2017-08-26",2
"2017-08-27",3
"2017-08-28",3
"2017-08-29",6
"2017-08-30",7
"2017-08-31",6
"2017-09-01",5
"2017-09-02",4
"2017-09-03",4
"2017-09-04",3
"2017-09-05",4
"2017-09-06",4
"2017-09-07",3
"2017-09-08",3
"2017-09-09",3
"2017-09-10",3
"2017-09-11",4
"2017-09-12",4
"2017-09-13",4
"2017-09-14",4
"2017-09-15",4
"2017-09-16",3
"2017-09-17",4
"2017-09-18",4
"2017-09-19",4
"2017-09-20",4
"2017-09-21",4
"2017-09-22",4
"2017-09-23",3
"2017-09-24",5
"2017-09-25",4
"2017-09-26",4
"2017-09-27",5
"2017-09-28",5
"2017-09-29",9
"2017-09-30",8
"2017-10-01",11
"2017-10-02",8
"2017-10-03",7
"2017-10-04",10
"2017-10-05",13
"2017-10-06",18
"2017-10-07",14
"2017-10-08",12
"2017-10-09",13
"2017-10-10",14
"2017-10-11",17
"2017-10-12",34
"2017-10-13",45
"2017-10-14",39
"2017-10-15",47
"2017-10-16",60
"2017-10-17",52
"2017-10-18",47
"2017-10-19",35
"2017-10-20",39
"2017-10-21",22
"2017-10-22",27
"2017-10-23",33
"2017-10-24",28
"2017-10-25",29
"2017-10-26",26
"2017-10-27",20
"2017-10-28",15
"2017-10-29",25
"2017-10-30",44
"2017-10-31",49
"2017-11-01",39
"2017-11-02",37
"2017-11-03",27
"2017-11-04",31
"2017-11-05",39
"2017-11-06",44
"2017-11-07",34
"2017-11-08",30
"2017-11-09",26
"2017-11-10",28
"2017-11-11",34
"2017-11-12",47
"2017-11-13",55
"2017-11-14",45
"2017-11-15",51
"2017-11-16",53
"2017-11-17",50
"2017-11-18",56
"2017-11-19",95
"2017-11-20",100
"2017-11-21",72
"2017-11-22",67
"2017-11-23",62
"2017-11-24",47
"2017-11-25",42
"2017-11-26",56
"2017-11-27",52
"2017-11-28",42
"2017-11-29",37
"2017-11-30",56
"2017-12-01",44
"2017-12-02",34
"2017-12-03",37
"2017-12-04",41
"2017-12-05",42
"2017-12-06",40
"2017-12-07",27
"2017-12-08",26
"2017-12-09",19
"2017-12-10",25
"2017-12-11",38
"2017-12-12",57
"2017-12-13",53
"2017-12-14",44
"2017-12-15",33
"2017-12-16",35
"2017-12-17",44
"2017-12-18",46
"2017-12-19",34
"2017-12-20",27
"2017-12-21",21
"2017-12-22",15
"2017-12-23",13
"2017-12-24",12
"2017-12-25",15
"2017-12-26",19
"2017-12-27",21
"2017-12-28",17
"2017-12-29",12
"2017-12-30",9
"2017-12-31",9
"2018-01-01",13
"2018-01-02",16
"2018-01-03",15
"2018-01-04",15
"2018-01-05",11
"2018-01-06",12
"2018-01-07",12
"2018-01-08",12
"2018-01-09",14
"2018-01-10",14
"2018-01-11",17
"2018-01-12",16
"2018-01-13",14
"2018-01-14",13
"2018-01-15",9
"2018-01-16",8
"2018-01-17",6
"2018-01-18",7
"2018-01-19",4
"2018-01-20",4
"2018-01-21",6
"2018-01-22",6
"2018-01-23",9
"2018-01-24",12
"2018-01-25",16
"2018-01-26",19
"2018-01-27",15
"2018-01-28",14
"2018-01-29",15
"2018-01-30",12
"2018-01-31",7
"2018-02-01",8
"2018-02-02",5
"2018-02-03",5
"2018-02-04",7
"2018-02-05",11
"2018-02-06",10
"2018-02-07",9
"2018-02-08",8
"2018-02-09",5
"2018-02-10",4
"2018-02-11",4
"2018-02-12",5
"2018-02-13",3
"2018-02-14",2
"2018-02-15",4
"2018-02-16",3
"2018-02-17",4
"2018-02-18",3
"2018-02-19",4
"2018-02-20",3
"2018-02-21",2
"2018-02-22",2
"2018-02-23",2
"2018-02-24",2
"2018-02-25",2
"2018-02-26",2
"2018-02-27",3
"2018-02-28",2
"2018-03-01",2
"2018-03-02",2
"2018-03-03",2
"2018-03-04",2
"2018-03-05",2
"2018-03-06",1
"2018-03-07",1
"2018-03-08",3
"2018-03-09",2
"2018-03-10",2
"2018-03-11",2
"2018-03-12",2
"2018-03-13",1
"2018-03-14",1
"2018-03-15",1
"2018-03-16",1
"2018-03-17",1
"2018-03-18",1
"2018-03-19",2
"2018-03-20",2
"2018-03-21",1
"2018-03-22",2
"2018-03-23",2
"2018-03-24",1
"2018-03-25",1
"2018-03-26",1
"2018-03-27",1
"2018-03-28",1
"2018-03-29",1
"2018-03-30",1
"2018-03-31",1
"2018-04-01",1
"2018-04-02",1
"2018-04-03",1
"2018-04-04",1
"2018-04-05",1
"2018-04-06",1
"2018-04-07",1
"2018-04-08",2
"2018-04-09",1
"2018-04-10",1
"2018-04-11",1
"2018-04-12",1
"2018-04-13",1
"2018-04-14",1
"2018-04-15",1
"2018-04-16",2
"2018-04-17",1
"2018-04-18",1
"2018-04-19",1
